Episode,Avg_Waiting_Time,Avg_Queue_Length,Avg_Throughput,Violations
0,295.92797319933,72.86666666666666,0.28055555555555556,0
1,215.16934919524144,80.13333333333334,1.0194444444444444,0
2,293.6740442655936,64.8,0.0,0
3,277.1456953642384,64.66666666666667,0.6027777777777777,0
4,243.4092627599244,67.66666666666667,0.19722222222222222,0
5,269.37961165048546,64.13333333333334,0.33055555555555555,0
6,314.7022587268994,64.0,0.005555555555555556,0
7,338.6442953020134,57.13333333333333,4.758333333333334,0
8,296.9035250463822,67.33333333333333,0.13333333333333333,0
9,240.15916575192097,58.666666666666664,0.2361111111111111,0
10,225.1621359223301,58.666666666666664,0.7666666666666667,0
11,219.74434611602754,56.733333333333334,1.4277777777777778,0
12,326.24285714285713,59.53333333333333,0.0,0
13,248.7155067155067,54.2,0.0,0
14,274.4977426636569,57.53333333333333,0.075,0
15,281.98315282791816,54.2,0.05,0
16,241.80696517412935,58.8,0.325,0
17,324.63304981773996,53.93333333333333,0.05555555555555555,0
18,304.75757575757575,54.86666666666667,0.34444444444444444,0
19,286.488,58.13333333333333,0.0,0
20,327.4989247311828,60.93333333333333,0.0,0
21,323.1650071123755,46.666666666666664,0.0,0
22,303.99030067895245,68.13333333333334,0.0,0
23,302.2250225022502,72.86666666666666,0.025,0
24,255.2658772874058,60.93333333333333,0.18611111111111112,0
25,297.2301656495205,74.26666666666667,1.0944444444444446,0
26,336.78447276940904,57.266666666666666,0.0,0
27,281.95896328293736,61.6,0.0,0
28,301.09870388833497,66.73333333333333,0.6444444444444445,0
29,251.8666026871401,64.53333333333333,0.6388888888888888,0
30,265.7210810810811,58.93333333333333,5.044444444444444,0
31,269.1263837638376,69.0,1.325,0
32,279.11266201395813,64.86666666666666,0.225,0
33,265.8825722273998,63.266666666666666,10.127777777777778,0
34,303.09761388286336,61.13333333333333,0.0,0
35,259.7881355932203,70.26666666666667,0.025,0
36,252.42772277227724,65.6,4.188888888888889,0
37,265.16477857878476,63.333333333333336,0.025,0
38,295.0464625131996,62.86666666666667,0.0,0
39,299.8841530054645,61.0,3.8666666666666667,0
40,236.53880866425993,67.73333333333333,0.7388888888888889,0
41,275.87396694214874,61.53333333333333,0.2777777777777778,0
42,284.8550724637681,59.8,0.0,0
43,287.0186697782964,55.93333333333333,0.058333333333333334,0
44,304.11384615384617,63.666666666666664,0.05277777777777778,0
45,324.9021978021978,60.6,0.027777777777777776,0
46,297.4546402502607,63.06666666666667,0.025,0
47,217.17384615384614,78.46666666666667,2.2527777777777778,0
48,319.5866408518877,66.4,0.08333333333333333,0
49,255.01510574018127,64.06666666666666,0.07222222222222222,0
50,258.2930153321976,74.06666666666666,0.20555555555555555,0
51,266.9303534303534,62.733333333333334,0.05555555555555555,0
52,245.74468085106383,76.26666666666667,0.17777777777777778,0
53,321.8099415204678,67.6,0.0,0
54,278.66206163655687,59.266666666666666,0.20833333333333334,0
55,312.77543186180424,69.13333333333334,0.0,0
56,273.0233739837398,64.73333333333333,0.025,0
57,286.466985645933,66.73333333333333,0.9055555555555556,0
58,322.2819025522042,57.06666666666667,0.008333333333333333,0
59,229.5539257981018,73.46666666666667,0.41388888888888886,0
60,292.50652173913045,58.733333333333334,9.76388888888889,0
61,263.2773913043478,69.06666666666666,0.7416666666666667,0
62,277.7346014492754,73.4,0.005555555555555556,0
63,251.02183908045976,49.53333333333333,1.1083333333333334,0
64,312.5030549898167,64.0,0.7805555555555556,0
65,305.6545988258317,65.26666666666667,0.5305555555555556,0
66,310.3001245330012,51.6,2.147222222222222,0
67,295.68916155419225,64.6,0.05555555555555555,0
68,306.220320855615,62.13333333333333,0.008333333333333333,0
69,289.9052987598647,56.53333333333333,3.2583333333333333,0
70,290.01714285714286,52.8,5.488888888888889,0
71,271.96183953033267,62.733333333333334,0.31666666666666665,0
72,235.32808988764046,58.2,10.294444444444444,0
73,269.56497695852534,65.0,0.5527777777777778,0
74,238.15641293013556,51.266666666666666,5.294444444444444,0
75,247.71317073170732,59.333333333333336,3.783333333333333,0
