Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Env_Violations
0,293.98,68.93,2.9528,0,0,0,1944
1,293.7,68.27,4.6333,0,0,0,1701
2,272.62,76.4,1.9667,0,0,0,2065
3,290.21,68.2,3.4056,0,0,0,2223
4,336.85,64.0,2.8167,0,0,0,2304
5,340.17,62.2,2.1,0,0,0,2484
6,298.16,64.0,9.5944,0,0,0,1193
7,344.39,61.33,1.6944,0,0,0,1524
8,314.74,50.67,18.45,0,0,0,660
9,295.5,64.0,10.1,0,0,0,799
10,352.64,50.67,13.2667,0,0,0,180
11,302.13,50.67,20.3,0,0,0,360
12,296.47,50.27,21.3056,0,0,0,627
13,276.44,64.0,13.5556,0,0,0,388
14,213.74,40.8,38.7111,0,0,0,22
15,351.62,50.67,13.2167,0,0,0,122
16,357.11,24.0,39.3833,0,0,0,0
17,257.11,50.67,26.7111,0,0,0,346
18,322.5,37.33,29.6,0,0,0,266
19,266.53,50.67,25.4111,0,0,0,809
20,343.16,50.67,14.6,0,0,0,322
21,353.89,37.33,26.3444,0,0,0,354
22,267.37,50.67,25.2667,0,0,0,385
23,311.06,37.33,30.7111,0,0,0,236
24,328.17,37.33,29.0111,0,0,0,282
25,321.05,37.33,29.75,0,0,0,262
26,357.11,24.0,39.3833,0,0,0,0
27,319.42,64.0,5.8889,0,0,0,1084
28,332.46,37.33,28.5667,0,0,0,294
29,336.74,37.33,28.1222,0,0,0,453
30,276.04,50.67,23.9722,0,0,0,420
31,326.78,37.33,29.1556,0,0,0,278
32,317.83,37.33,30.0833,0,0,0,9
33,357.11,24.0,39.3833,0,0,0,0
34,300.89,35.07,32.6778,0,0,0,306
35,353.48,37.33,26.2944,0,0,0,16
36,292.09,50.67,21.6389,0,0,0,483
37,346.71,49.8,14.1556,0,0,0,720
38,254.77,34.0,38.9333,0,0,0,14
39,353.48,37.33,26.2944,0,0,0,1
40,354.5,37.33,26.2778,0,0,0,604
41,357.11,24.0,39.3833,0,0,0,0
42,231.06,50.67,30.2278,0,0,0,58
43,357.11,24.0,39.3833,0,0,0,0
44,327.45,37.33,29.0111,0,0,0,282
45,283.75,50.67,22.8444,0,0,0,185
46,328.77,33.33,29.8667,0,0,0,35
47,357.11,24.0,39.3833,0,0,0,0
48,357.11,24.0,39.3833,0,0,0,0
49,325.33,37.33,29.3056,0,0,0,0
50,357.11,24.0,39.3833,0,0,0,0
51,200.02,50.67,34.6722,0,0,0,131
52,264.61,37.33,35.5278,0,0,0,127
53,259.84,37.33,36.1222,0,0,0,124
54,288.72,64.0,11.3722,0,0,0,901
55,357.11,24.0,39.3833,0,0,0,0
56,266.78,37.33,35.3778,0,0,0,148
57,333.69,34.2,29.0111,0,0,0,277
58,324.64,37.33,29.3778,0,0,0,0
59,326.31,50.67,16.8222,0,0,0,318
60,282.37,50.67,23.1556,0,0,0,103
61,240.3,50.67,29.0778,0,0,0,282
62,327.0,62.2,4.6278,0,0,0,420
63,353.54,37.33,26.2778,0,0,0,2
64,357.11,24.0,39.3833,0,0,0,0
65,349.98,37.33,26.75,0,0,0,28
66,270.67,37.33,34.9,0,0,0,44
67,233.68,50.67,29.9333,0,0,0,259
68,196.39,58.67,30.5611,0,0,0,38
69,357.11,24.0,39.3833,0,0,0,0
70,342.48,37.33,27.5278,0,0,0,0
71,354.64,37.33,26.2556,0,0,0,4
72,354.64,37.33,26.2556,0,0,0,4
73,354.64,37.33,26.2556,0,0,0,4
74,354.64,37.33,26.2556,0,0,0,4
75,221.53,66.13,23.5444,0,0,0,64
76,357.11,24.0,39.3833,0,0,0,0
77,343.39,50.67,14.5833,0,0,0,593
78,354.64,37.33,26.2556,0,0,0,42
79,354.64,37.33,26.2556,0,0,0,154
80,354.64,37.33,26.2556,0,0,0,3
81,353.37,50.67,13.15,0,0,0,730
82,303.88,37.33,31.4556,0,0,0,216
83,354.64,37.33,26.2556,0,0,0,3
84,271.02,50.67,24.6611,0,0,0,404
85,310.57,50.67,18.9944,0,0,0,557
86,329.99,50.67,16.3611,0,0,0,628
87,354.64,37.33,26.2556,0,0,0,0
88,338.7,50.67,15.1444,0,0,0,302
89,354.64,37.33,26.2556,0,0,0,0
90,349.53,39.47,26.2556,0,0,0,0
91,351.6,50.67,13.3278,0,0,0,200
92,287.97,50.67,22.25,0,0,0,469
93,276.37,50.67,23.8833,0,0,0,713
94,317.09,50.67,18.1778,0,0,0,630
95,341.08,50.67,14.8833,0,0,0,313
96,351.51,64.0,0.0389,0,0,0,364
97,351.51,64.0,0.0389,0,0,0,452
98,354.88,35.2,26.2556,0,0,0,441
99,331.65,50.67,16.0278,0,0,0,847
100,291.64,50.67,21.7333,0,0,0,505
101,351.85,50.67,13.1667,0,0,0,361
102,353.61,37.33,26.2556,0,0,0,359
103,355.64,33.67,26.2556,0,0,0,714
104,283.08,64.0,12.2389,0,0,0,387
105,351.85,50.67,13.1667,0,0,0,347
106,352.63,49.47,13.1861,0,0,0,426
107,261.56,49.47,25.8056,0,0,0,370
108,308.63,64.0,7.725,0,0,0,551
109,314.47,50.67,18.4611,0,0,0,375
110,286.02,50.67,22.55,0,0,0,573
111,292.77,62.4,10.3611,0,0,0,448
112,270.32,50.67,24.7333,0,0,0,48
113,353.61,37.33,26.2556,0,0,0,5
114,353.61,37.33,26.2556,0,0,0,372
115,353.61,37.33,26.2556,0,0,0,5
116,353.61,37.33,26.2556,0,0,0,313
117,352.89,50.67,13.1389,0,0,0,247
118,349.81,50.67,13.4722,0,0,0,18
119,269.03,50.67,24.9167,0,0,0,366
120,351.87,50.67,13.2889,0,0,0,0
121,351.9,50.67,13.15,0,0,0,361
122,314.23,64.0,6.7611,0,0,0,230
123,342.68,50.67,14.55,0,0,0,237
124,322.21,64.0,5.2361,0,0,0,936
125,293.98,64.0,10.3944,0,0,0,653
126,354.76,36.6,26.2556,0,0,0,355
127,354.7,37.07,26.2556,0,0,0,354
128,352.96,50.67,13.1278,0,0,0,60
129,352.96,50.67,13.1278,0,0,0,292
130,303.66,50.67,20.0667,0,0,0,635
131,351.9,50.67,13.15,0,0,0,14
132,332.16,50.27,15.9556,0,0,0,439
133,268.29,48.53,24.6222,0,0,0,53
134,354.61,37.33,26.2611,0,0,0,161
135,322.38,50.67,17.5167,0,0,0,238
136,338.45,50.67,15.1778,0,0,0,303
137,351.89,50.67,13.3611,0,0,0,375
138,294.37,64.0,10.25,0,0,0,98
139,349.79,50.67,13.55,0,0,0,345
140,353.61,37.33,26.2556,0,0,0,359
141,251.03,37.33,37.0111,0,0,0,66
142,357.11,24.0,39.3833,0,0,0,0
143,222.7,64.0,23.0667,0,0,0,358
144,327.58,64.0,4.3222,0,0,0,981
145,357.11,24.0,39.3833,0,0,0,0
146,344.03,50.67,14.3611,0,0,0,19
147,349.79,50.67,13.55,0,0,0,191
148,289.23,64.0,11.2056,0,0,0,54
149,353.61,37.33,26.2556,0,0,0,0
150,336.7,64.0,2.8,0,0,0,963
151,357.11,24.0,39.3833,0,0,0,0
152,313.42,50.67,18.6833,0,0,0,358
153,287.09,50.67,22.4,0,0,0,106
154,349.0,50.67,13.6611,0,0,0,0
