Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Actual_Violations
0,173.04,82.93,1.3306,1275,1275,0,0
1,173.35,82.07,2.4639,1185,1185,0,0
2,216.11,82.33,1.2361,845,845,0,0
3,193.02,80.33,1.8583,1775,1775,0,0
4,246.03,79.6,0.7083,1125,1125,0,0
5,148.72,79.8,1.496,386,386,0,0
6,202.63,81.87,1.0861,1965,1965,0,0
7,173.48,83.07,2.3278,1750,1750,0,0
8,214.05,77.93,1.9556,1310,1310,0,0
9,162.95,74.67,2.4361,840,840,0,0
10,222.94,79.6,1.5306,1605,1605,0,0
11,147.7,76.13,1.8226,1281,1281,0,0
12,226.72,78.8,1.2833,2065,2065,0,0
13,200.91,79.93,2.8556,1585,1585,0,0
14,160.56,80.07,3.3361,1700,1700,0,0
15,160.7,72.87,3.7056,1575,1575,0,0
16,203.53,74.87,2.2306,1460,1460,0,0
17,132.75,79.4,2.7298,1035,1035,0,0
18,168.63,78.2,1.7778,1875,1875,0,0
19,185.68,83.13,2.2083,1500,1500,0,0
20,191.48,86.73,3.6639,1635,1635,0,0
21,245.88,80.33,2.1083,1385,1385,0,0
22,178.04,78.87,1.2139,990,990,0,0
23,124.01,74.4,2.6411,1264,1264,0,0
24,204.68,76.4,2.9833,2185,2185,0,0
25,172.85,85.4,2.9333,1020,1020,0,0
26,173.65,83.6,3.0861,1250,1250,0,0
27,184.31,79.27,2.4222,1510,1510,0,0
28,181.55,71.07,3.675,1440,1440,0,0
29,149.31,72.13,2.129,824,824,0,0
30,207.28,84.33,1.5,1450,1450,0,0
31,239.56,80.47,2.3556,1780,1780,0,0
32,202.0,78.87,1.2472,840,840,0,0
33,187.25,76.0,2.2,1175,1175,0,0
34,151.66,74.47,1.6333,1485,1485,0,0
35,135.9,82.67,2.4073,895,895,0,0
36,233.61,78.4,2.9528,1545,1545,0,0
37,210.24,78.73,0.9944,1955,1955,0,0
38,201.59,78.87,0.7222,1820,1820,0,0
39,282.69,81.73,0.525,1625,1625,0,0
40,256.47,75.07,1.5306,1950,1950,0,0
41,170.9,74.0,1.6895,911,911,0,0
42,233.18,78.07,1.1306,2085,2085,0,0
43,210.76,73.73,1.1667,1815,1815,0,0
44,184.42,78.33,1.3722,1800,1800,0,0
45,207.53,79.2,1.6222,1790,1790,0,0
46,229.89,81.87,1.5,1755,1755,0,0
47,200.19,76.47,1.2581,880,880,0,0
48,193.82,80.53,2.5194,1245,1245,0,0
49,225.98,78.93,1.2,1540,1540,0,0
50,194.4,79.27,1.6722,1525,1525,0,0
51,165.99,78.93,2.4556,1465,1465,0,0
52,180.55,80.0,3.4306,1845,1845,0,0
53,149.88,76.2,2.2661,742,742,0,0
54,221.16,83.67,1.7139,1275,1275,0,0
55,222.12,79.8,2.0833,1880,1880,0,0
56,240.99,81.6,1.4167,1130,1130,0,0
57,152.61,76.8,3.85,1440,1440,0,0
58,248.74,80.27,0.8444,1555,1555,0,0
59,164.27,73.4,2.5806,871,871,0,0
60,240.23,78.07,1.2444,1075,1075,0,0
61,205.84,77.0,1.9556,1720,1720,0,0
62,223.8,81.13,1.5194,1525,1525,0,0
63,192.05,79.4,1.8778,1220,1220,0,0
64,206.89,75.67,1.6472,1605,1605,0,0
65,154.13,78.47,1.5887,1098,1098,0,0
66,167.83,77.13,1.7833,1150,1150,0,0
67,193.01,77.73,2.2222,1245,1245,0,0
68,230.67,82.67,1.0417,1800,1800,0,0
69,218.38,76.8,2.45,1670,1670,0,0
70,165.18,73.93,1.8361,1385,1385,0,0
71,184.47,72.93,2.2298,1457,1457,0,0
72,237.09,80.13,3.1,1825,1825,0,0
73,189.53,77.73,1.0056,1715,1715,0,0
74,258.11,82.27,1.2389,1575,1575,0,0
75,170.75,77.0,4.3917,1710,1710,0,0
76,253.46,76.47,0.9472,1945,1945,0,0
77,150.24,78.67,2.0161,690,690,0,0
78,157.68,75.87,2.0917,1345,1345,0,0
79,322.66,79.13,0.6556,1325,1325,0,0
80,265.89,79.13,1.0639,1450,1450,0,0
81,249.62,80.53,2.0472,1820,1820,0,0
82,257.86,77.73,0.85,1670,1670,0,0
83,130.74,73.93,3.7702,1150,1150,0,0
84,197.62,76.07,2.6528,1280,1280,0,0
85,194.79,82.6,0.8611,1075,1075,0,0
86,272.7,74.53,1.3556,1790,1790,0,0
87,179.48,79.67,4.1222,875,875,0,0
88,270.91,75.53,0.7472,1320,1320,0,0
89,143.03,82.4,2.0726,648,648,0,0
90,189.3,82.0,1.9778,990,990,0,0
91,209.06,79.47,3.0944,1645,1645,0,0
92,226.12,81.67,1.4306,1480,1480,0,0
93,273.02,77.93,1.2083,1365,1365,0,0
94,213.96,68.27,1.3528,1935,1935,0,0
95,148.68,69.93,2.2903,1182,1182,0,0
96,243.2,75.07,1.4028,2205,2205,0,0
97,267.85,80.47,1.0583,1325,1325,0,0
98,288.35,74.2,1.2167,1275,1275,0,0
99,178.9,78.33,2.1139,1050,1050,0,0
100,206.45,80.4,1.8278,1590,1590,0,0
101,149.51,73.8,6.6694,1081,1081,0,0
102,204.44,81.07,2.0639,1425,1425,0,0
103,181.58,77.4,4.0389,1325,1325,0,0
104,206.35,74.8,1.0972,1020,1020,0,0
105,183.46,78.4,2.4222,1485,1485,0,0
106,190.76,77.2,1.8028,1110,1110,0,0
107,117.5,68.33,2.629,651,651,0,0
108,228.31,72.27,1.3694,1305,1305,0,0
109,239.18,75.73,2.6556,1530,1530,0,0
110,166.43,77.73,2.6833,1315,1315,0,0
111,192.12,80.73,1.0611,1475,1475,0,0
112,225.87,70.2,5.3,895,895,0,0
113,113.77,71.73,8.25,1010,1010,0,0
114,227.36,85.47,1.1583,1615,1615,0,0
115,235.49,83.73,1.7,765,765,0,0
116,173.49,82.13,1.6944,1530,1530,0,0
117,155.57,76.6,2.6222,1165,1165,0,0
118,315.48,73.87,0.7361,1025,1025,0,0
119,156.44,82.8,0.9718,500,500,0,0
120,192.7,80.93,2.3917,1270,1270,0,0
121,208.34,76.2,2.3444,1670,1670,0,0
122,289.59,77.67,0.6,980,980,0,0
123,233.36,73.93,1.2167,1815,1815,0,0
124,243.92,70.87,1.45,735,735,0,0
125,158.54,72.27,1.4839,652,652,0,0
126,286.98,75.6,3.2167,770,770,0,0
127,242.48,80.8,1.075,875,875,0,0
128,228.13,56.07,12.3028,340,340,0,0
129,253.32,71.2,1.7194,1110,1110,0,0
130,171.81,70.53,1.7833,1390,1390,0,0
131,188.88,70.13,3.0202,389,389,0,0
132,293.92,72.8,0.575,925,925,0,0
133,277.95,79.27,1.55,1105,1105,0,0
134,265.48,76.13,2.7,820,820,0,0
135,138.56,75.8,5.4722,840,840,0,0
136,270.73,79.67,1.5056,1290,1290,0,0
137,128.78,73.87,3.1895,539,539,0,0
138,270.04,71.13,2.3917,830,830,0,0
139,209.71,72.13,2.1167,1380,1380,0,0
140,249.89,71.93,2.8472,1100,1100,0,0
141,251.57,72.07,0.9444,1850,1850,0,0
142,184.53,84.8,2.2722,840,840,0,0
143,133.7,71.07,2.7056,837,837,0,0
144,281.2,74.2,1.3167,2020,2020,0,0
145,260.06,77.13,1.45,1445,1445,0,0
146,212.11,70.4,1.9806,1175,1175,0,0
147,243.6,77.33,2.7361,810,810,0,0
148,260.94,80.67,1.7306,1265,1265,0,0
149,147.31,66.07,1.754,705,705,0,0
150,215.41,71.33,2.3833,1485,1485,0,0
151,264.97,77.53,1.1861,1140,1140,0,0
152,235.73,72.6,3.0417,1245,1245,0,0
153,224.98,74.67,1.1917,1575,1575,0,0
154,253.61,77.2,1.3111,625,625,0,0
155,139.23,75.93,1.3105,906,906,0,0
156,257.69,71.4,5.9167,1190,1190,0,0
157,308.27,55.0,13.5222,745,745,0,0
158,273.78,76.8,2.6944,305,305,0,0
159,257.98,75.07,2.45,885,885,0,0
160,239.34,75.6,2.3028,855,855,0,0
161,186.47,73.6,2.5806,710,710,0,0
162,264.67,72.73,2.1139,1825,1825,0,0
163,306.41,75.33,1.8389,535,535,0,0
164,212.26,74.33,4.0694,1005,1005,0,0
165,219.87,70.13,3.1417,2090,2090,0,0
166,282.46,74.27,1.5194,1420,1420,0,0
167,173.74,59.2,14.2016,664,664,0,0
168,280.27,76.53,1.0833,905,905,0,0
169,217.86,77.07,1.6972,625,625,0,0
170,225.59,72.93,2.1139,1685,1685,0,0
171,210.84,63.93,11.0472,1550,1550,0,0
172,186.3,76.53,3.4583,1240,1240,0,0
173,149.53,80.8,1.7661,707,707,0,0
174,287.12,74.73,5.3167,835,835,0,0
175,177.02,75.93,5.0361,1235,1235,0,0
176,220.53,76.47,1.8694,1445,1445,0,0
177,245.65,68.6,1.9694,2240,2240,0,0
178,273.8,75.8,1.2139,1535,1535,0,0
179,149.0,77.53,11.5887,502,502,0,0
180,283.78,75.27,0.9806,1095,1095,0,0
181,247.93,75.53,1.1778,1655,1655,0,0
182,259.62,72.4,1.5111,915,915,0,0
183,199.68,76.93,1.3333,2290,2290,0,0
184,220.37,77.13,2.7944,1310,1310,0,0
185,129.08,76.73,4.5766,474,474,0,0
186,246.16,75.33,2.8361,480,480,0,0
187,186.6,70.6,3.375,1325,1325,0,0
188,225.77,74.33,4.5194,1255,1255,0,0
189,281.59,68.93,3.2694,1610,1610,0,0
190,210.79,75.13,2.2556,1170,1170,0,0
191,104.55,66.33,4.9476,484,484,0,0
192,256.35,69.47,1.0639,1385,1385,0,0
193,206.36,74.2,2.8389,1815,1815,0,0
194,314.34,71.13,0.4972,1700,1700,0,0
195,191.48,77.27,2.0333,1325,1325,0,0
196,213.65,77.07,2.2917,1240,1240,0,0
197,190.01,78.73,2.9476,736,736,0,0
198,184.74,78.07,4.275,1405,1405,0,0
199,222.46,74.13,4.1778,1115,1115,0,0
200,181.55,64.8,3.4278,1520,1520,0,0
201,206.12,78.07,3.8056,920,920,0,0
202,279.55,80.07,0.8417,1885,1885,0,0
203,148.69,75.87,3.9677,1227,1227,0,0
204,141.97,74.53,3.9194,755,755,0,0
205,244.89,72.13,7.9806,1305,1305,0,0
206,324.75,70.87,0.4444,660,660,0,0
207,230.48,73.73,1.925,580,580,0,0
208,259.16,77.27,2.3,1345,1345,0,0
209,182.12,79.53,1.3266,570,570,0,0
210,271.12,74.33,1.6278,405,405,0,0
211,266.67,72.33,2.2139,1175,1175,0,0
212,179.33,56.53,11.1833,1020,1020,0,0
213,219.14,81.0,1.6194,620,620,0,0
214,195.99,84.87,1.6194,1115,1115,0,0
215,158.1,72.0,4.5323,777,777,0,0
216,195.0,73.73,2.5194,1025,1025,0,0
217,314.36,70.8,0.475,1360,1360,0,0
218,289.18,77.87,0.5806,1330,1330,0,0
219,258.11,75.47,1.675,1040,1040,0,0
220,250.91,73.53,1.7611,1520,1520,0,0
221,152.78,75.4,1.2177,1075,1075,0,0
222,223.11,70.33,1.95,1585,1585,0,0
223,288.57,68.67,1.6611,1750,1750,0,0
224,292.79,74.93,0.5167,940,940,0,0
225,257.55,79.87,2.5222,2115,2115,0,0
226,185.53,73.27,2.7722,815,815,0,0
227,163.62,77.2,3.0444,519,519,0,0
228,206.69,72.93,2.3056,1545,1545,0,0
229,208.46,72.73,2.5528,1680,1680,0,0
230,299.63,72.2,1.0222,1015,1015,0,0
231,309.57,75.87,1.2333,880,880,0,0
232,298.83,75.73,0.6056,1060,1060,0,0
233,190.85,69.27,0.8871,970,970,0,0
234,316.89,72.27,0.6583,870,870,0,0
235,224.72,73.27,1.7611,1110,1110,0,0
236,277.35,69.73,1.2944,1220,1220,0,0
237,283.55,75.47,1.3278,1285,1285,0,0
238,291.64,75.87,1.4056,1160,1160,0,0
239,194.31,74.6,1.7944,358,358,0,0
240,337.25,72.27,0.3611,925,925,0,0
241,320.14,77.07,1.1528,1030,1030,0,0
242,306.26,71.2,1.8528,1075,1075,0,0
243,266.28,70.4,2.4,1600,1600,0,0
244,250.1,69.93,1.2278,965,965,0,0
245,156.22,69.47,1.3548,762,762,0,0
246,249.82,63.87,6.5222,1465,1465,0,0
247,271.6,75.2,1.5167,1035,1035,0,0
248,233.76,73.73,1.7472,1350,1350,0,0
249,232.01,73.8,4.4472,940,940,0,0
250,217.9,77.0,3.9722,980,980,0,0
251,179.37,71.13,3.1734,521,521,0,0
252,290.23,76.67,1.3667,595,595,0,0
