Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Env_Violations
0,277.77,64.0,1.0611,0,0,0,2782
1,281.2,76.4,1.8056,0,0,0,1422
2,280.26,68.87,4.0778,0,0,0,2419
3,313.28,66.13,4.8167,0,0,0,2027
4,341.77,64.0,1.9667,0,0,0,2166
5,312.55,64.0,7.1111,0,0,0,1533
6,297.37,64.0,9.9611,0,0,0,1465
7,341.25,50.67,14.8944,0,0,0,329
8,298.84,63.47,6.9611,0,0,0,1082
9,305.36,37.33,31.3778,0,0,0,469
10,330.53,50.67,16.3278,0,0,0,329
11,357.11,24.0,39.3833,0,0,0,0
12,273.96,50.67,24.3389,0,0,0,410
13,294.24,37.33,32.4556,0,0,0,10
14,345.03,64.0,1.3611,0,0,0,1254
15,311.44,43.53,18.4,0,0,0,515
16,250.24,50.67,27.5278,0,0,0,324
17,357.11,24.0,39.3833,0,0,0,0
18,352.11,36.93,26.4889,0,0,0,410
19,353.17,37.33,26.3444,0,0,0,441
20,353.61,37.33,26.2556,0,0,0,200
21,288.1,50.67,22.3,0,0,0,320
22,314.18,50.67,18.7056,0,0,0,345
23,289.22,64.0,11.3333,0,0,0,844
24,352.71,50.67,13.1278,0,0,0,717
25,313.17,37.33,30.5667,0,0,0,240
26,284.61,49.4,22.8167,0,0,0,691
27,256.07,50.67,26.7833,0,0,0,344
28,352.82,37.33,26.4556,0,0,0,608
29,350.55,50.67,13.55,0,0,0,704
30,258.33,50.67,26.4889,0,0,0,329
31,268.56,36.0,35.9,0,0,0,191
32,329.62,37.33,28.8611,0,0,0,286
33,288.37,34.2,34.6389,0,0,0,255
34,326.77,39.47,26.2556,0,0,0,275
35,272.03,50.67,24.5611,0,0,0,276
36,349.48,50.67,13.7111,0,0,0,96
37,315.56,37.33,30.3444,0,0,0,246
38,287.64,50.67,22.4056,0,0,0,463
39,352.76,50.67,13.2722,0,0,0,3
40,281.12,50.67,23.1389,0,0,0,111
41,295.26,50.67,21.2667,0,0,0,488
42,242.68,64.0,19.4833,0,0,0,593
43,236.32,62.13,21.4833,0,0,0,575
44,249.83,64.0,18.2611,0,0,0,576
45,283.66,52.8,20.8944,0,0,0,426
46,330.86,64.0,3.8556,0,0,0,735
47,350.67,37.33,26.6778,0,0,0,199
48,317.62,50.67,18.0444,0,0,0,580
49,334.2,50.67,15.7111,0,0,0,578
50,281.39,43.33,29.0389,0,0,0,283
51,247.36,61.33,19.5222,0,0,0,355
52,307.15,50.67,19.5944,0,0,0,279
53,324.93,50.67,17.1167,0,0,0,792
54,352.36,37.33,26.5278,0,0,0,72
55,351.29,37.33,26.6389,0,0,0,346
56,346.68,50.67,14.1556,0,0,0,515
57,331.78,50.67,16.2278,0,0,0,278
58,351.67,37.33,26.6,0,0,0,0
59,350.22,37.33,26.75,0,0,0,2
60,322.84,37.33,29.4889,0,0,0,269
61,344.17,37.33,27.3778,0,0,0,0
62,353.61,37.33,26.2556,0,0,0,2
63,308.78,48.0,19.6556,0,0,0,285
64,320.7,37.33,29.7111,0,0,0,7
65,275.06,50.67,24.0667,0,0,0,363
66,349.52,37.33,26.8222,0,0,0,58
67,348.56,39.47,26.2778,0,0,0,561
68,349.52,37.33,26.8222,0,0,0,0
69,352.36,37.33,26.5278,0,0,0,126
70,326.35,50.67,16.9667,0,0,0,9
71,353.61,37.33,26.2556,0,0,0,7
72,261.92,64.0,16.1111,0,0,0,461
73,352.84,37.33,26.3778,0,0,0,1
74,353.61,37.33,26.2556,0,0,0,337
75,353.61,37.33,26.2556,0,0,0,10
76,353.61,37.33,26.2556,0,0,0,9
77,335.83,50.67,15.4389,0,0,0,294
78,353.61,37.33,26.2556,0,0,0,0
79,353.61,37.33,26.2556,0,0,0,0
80,310.85,50.67,18.9556,0,0,0,365
81,348.76,50.67,13.6944,0,0,0,2
82,353.6,37.33,26.2583,0,0,0,0
83,323.84,39.47,26.2556,0,0,0,75
84,354.26,37.33,26.3056,0,0,0,48
85,353.61,37.33,26.2556,0,0,0,5
86,295.02,50.67,21.3,0,0,0,492
87,357.11,24.0,39.3833,0,0,0,0
88,352.33,50.67,13.2167,0,0,0,0
89,357.11,24.0,39.3833,0,0,0,0
90,353.17,50.67,13.1833,0,0,0,357
91,294.49,50.67,21.3,0,0,0,0
92,282.67,50.67,23.1389,0,0,0,91
93,353.19,50.67,13.1778,0,0,0,678
94,251.03,63.2,18.5278,0,0,0,216
95,357.11,24.0,39.3833,0,0,0,0
96,324.24,37.33,29.3444,0,0,0,2
97,275.34,50.67,24.0278,0,0,0,62
98,219.24,50.67,31.9667,0,0,0,204
99,305.57,50.67,19.8056,0,0,0,677
100,353.48,37.33,26.2944,0,0,0,2
101,340.06,50.67,14.8444,0,0,0,735
102,353.61,37.33,26.2556,0,0,0,243
103,353.35,50.67,13.2167,0,0,0,308
104,352.82,50.67,13.1861,0,0,0,358
105,354.64,37.33,26.2556,0,0,0,19
106,352.24,50.67,13.2556,0,0,0,194
107,291.87,50.67,21.7333,0,0,0,482
108,353.61,37.33,26.2556,0,0,0,30
109,354.64,37.33,26.2556,0,0,0,1
110,341.88,50.67,14.8056,0,0,0,314
111,353.35,50.67,13.2167,0,0,0,96
112,287.11,50.67,22.4889,0,0,0,4
113,357.11,24.0,39.3833,0,0,0,0
114,350.54,50.67,13.5111,0,0,0,2
115,290.21,64.0,11.1333,0,0,0,445
116,357.11,24.0,39.3833,0,0,0,0
117,334.31,50.67,15.7917,0,0,0,2
118,293.17,37.33,32.5667,0,0,0,91
119,328.93,37.33,28.9333,0,0,0,284
120,357.11,24.0,39.3833,0,0,0,0
121,350.29,50.67,13.5111,0,0,0,620
122,258.89,50.67,26.4111,0,0,0,16
123,353.48,37.33,26.2944,0,0,0,278
124,352.66,50.67,13.15,0,0,0,0
125,291.92,52.8,18.0667,0,0,0,223
126,352.84,37.33,26.3778,0,0,0,285
127,270.69,37.33,34.9722,0,0,0,121
128,244.98,37.33,37.6389,0,0,0,49
129,335.27,50.67,15.6611,0,0,0,1
130,353.35,50.67,13.2167,0,0,0,354
131,334.15,37.33,28.4167,0,0,0,298
132,237.37,46.67,30.8972,0,0,0,353
133,357.11,24.0,39.3833,0,0,0,0
134,248.19,37.33,37.3056,0,0,0,58
135,252.1,37.33,36.9,0,0,0,69
136,339.64,37.33,27.8222,0,0,0,0
137,272.03,50.67,24.6611,0,0,0,45
138,353.54,37.33,26.2778,0,0,0,99
139,352.69,50.67,13.1333,0,0,0,350
140,357.11,24.0,39.3833,0,0,0,0
141,247.82,37.33,37.3444,0,0,0,57
142,239.62,37.33,38.1944,0,0,0,54
143,357.11,24.0,39.3833,0,0,0,0
144,357.11,24.0,39.3833,0,0,0,0
145,357.11,24.0,39.3833,0,0,0,0
146,303.69,50.67,20.0056,0,0,0,532
147,357.11,24.0,39.3833,0,0,0,0
148,287.13,50.67,22.4111,0,0,0,146
149,345.67,37.33,27.1222,0,0,0,250
150,357.11,24.0,39.3833,0,0,0,0
151,357.11,24.0,39.3833,0,0,0,0
152,349.52,50.67,13.6944,0,0,0,649
153,299.72,50.67,20.6222,0,0,0,154
154,353.61,37.33,26.2556,0,0,0,11
155,353.61,37.33,26.2556,0,0,0,12
156,357.11,24.0,39.3833,0,0,0,0
157,357.11,24.0,39.3833,0,0,0,0
158,353.61,37.33,26.2556,0,0,0,6
159,316.49,64.0,6.2,0,0,0,257
160,351.85,50.67,13.1667,0,0,0,8
161,263.98,64.0,15.7278,0,0,0,609
162,353.54,37.33,26.2778,0,0,0,0
163,357.11,24.0,39.3833,0,0,0,0
164,353.61,37.33,26.2556,0,0,0,0
165,353.61,37.33,26.2556,0,0,0,6
166,352.64,50.67,13.2167,0,0,0,0
167,254.59,37.33,36.5667,0,0,0,2
168,353.61,37.33,26.2556,0,0,0,0
169,335.57,39.47,26.2556,0,0,0,164
170,350.58,50.67,13.4389,0,0,0,0
171,353.61,37.33,26.2556,0,0,0,202
172,284.88,52.8,22.9167,0,0,0,100
173,351.92,50.67,13.25,0,0,0,0
174,353.61,37.33,26.2556,0,0,0,0
175,357.11,24.0,39.3833,0,0,0,0
176,354.64,37.33,26.2556,0,0,0,3
177,345.67,37.33,27.1222,0,0,0,0
178,357.11,24.0,39.3833,0,0,0,0
179,357.11,24.0,39.3833,0,0,0,0
180,274.63,37.33,34.4889,0,0,0,123
181,352.73,39.47,26.2583,0,0,0,0
182,242.14,37.33,37.9333,0,0,0,41
183,357.11,24.0,39.3833,0,0,0,0
184,357.11,24.0,39.3833,0,0,0,0
185,282.15,50.67,22.9944,0,0,0,6
186,237.48,37.33,38.4167,0,0,0,28
187,297.7,50.67,20.8056,0,0,0,5
188,357.11,24.0,39.3833,0,0,0,0
189,290.6,50.67,21.8056,0,0,0,4
190,353.61,37.33,26.2556,0,0,0,0
191,349.52,50.67,13.6944,0,0,0,16
192,301.76,37.33,31.75,0,0,0,208
193,357.11,24.0,39.3833,0,0,0,0
194,357.11,24.0,39.3833,0,0,0,0
195,353.41,37.33,26.3139,0,0,0,0
196,264.54,50.67,25.4722,0,0,0,2
197,357.11,24.0,39.3833,0,0,0,0
198,357.11,24.0,39.3833,0,0,0,0
199,276.64,50.67,23.8444,0,0,0,67
200,329.79,50.67,16.4722,0,0,0,266
201,333.88,37.33,28.3444,0,0,0,0
202,354.64,37.33,26.2556,0,0,0,0
203,348.8,64.0,0.6556,0,0,0,426
204,353.17,37.33,26.3444,0,0,0,0
205,357.11,24.0,39.3833,0,0,0,0
206,298.52,37.33,32.0111,0,0,0,201
207,353.17,37.33,26.3444,0,0,0,0
208,357.11,24.0,39.3833,0,0,0,0
209,322.52,66.13,1.8139,0,0,0,803
210,353.61,37.33,26.2556,0,0,0,0
211,272.7,64.0,14.0278,0,0,0,491
212,310.71,37.33,30.8222,0,0,0,3
213,306.74,37.33,31.2333,0,0,0,222
214,353.41,37.33,26.3139,0,0,0,0
215,357.11,24.0,39.3833,0,0,0,0
216,351.8,50.67,13.1861,0,0,0,96
217,353.41,37.33,26.3139,0,0,0,0
218,351.8,50.67,13.1861,0,0,0,355
219,351.8,50.67,13.1861,0,0,0,0
220,332.95,39.47,26.2556,0,0,0,342
221,294.29,50.67,21.3611,0,0,0,287
222,353.48,37.33,26.2944,0,0,0,114
223,353.61,37.33,26.2556,0,0,0,0
224,357.11,24.0,39.3833,0,0,0,0
225,345.32,50.67,14.1778,0,0,0,4
226,210.67,64.0,25.2222,0,0,0,242
227,353.57,37.33,26.3778,0,0,0,0
228,353.61,37.33,26.2556,0,0,0,0
