Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Actual_Violations
0,275.07,70.47,1.4083,815,815,0,0
1,177.56,82.27,2.0556,1530,1530,0,0
2,205.56,79.4,1.4,1470,1470,0,0
3,196.89,81.2,2.9722,1690,1690,0,0
4,283.99,71.0,0.9444,1520,1520,0,0
5,171.77,79.6,1.3508,922,922,0,0
6,239.8,76.73,2.2639,610,610,0,0
7,257.02,76.8,0.9861,1620,1620,0,0
8,210.54,75.73,8.3833,1065,1065,0,0
9,216.74,81.27,2.6417,1045,1045,0,0
10,206.75,74.6,2.1417,1270,1270,0,0
11,152.57,78.53,2.8589,1101,1101,0,0
12,225.01,80.67,1.4417,1290,1290,0,0
13,220.72,76.73,1.6167,1885,1885,0,0
14,165.58,78.73,1.6222,1460,1460,0,0
15,222.16,77.73,2.2111,1305,1305,0,0
16,196.18,82.47,1.7306,1045,1045,0,0
17,166.8,71.2,3.5927,625,625,0,0
18,171.91,77.47,2.2056,1345,1345,0,0
19,173.93,79.53,2.0972,1050,1050,0,0
20,225.6,74.07,1.8333,1600,1600,0,0
21,175.59,78.27,1.6333,1205,1205,0,0
22,223.14,78.13,1.3917,1940,1940,0,0
23,132.54,73.4,2.0121,656,656,0,0
24,278.05,80.2,0.7722,1025,1025,0,0
25,258.1,70.2,1.3806,2120,2120,0,0
26,280.72,77.2,1.5611,870,870,0,0
27,191.22,80.47,2.35,1340,1340,0,0
28,223.53,83.27,2.8667,780,780,0,0
29,125.48,73.0,2.375,1092,1092,0,0
30,252.48,79.93,2.3194,810,810,0,0
31,250.58,73.8,2.2833,1140,1140,0,0
32,191.1,79.33,1.625,895,895,0,0
33,262.57,77.8,0.6306,1340,1340,0,0
34,239.02,76.2,1.4861,1525,1525,0,0
35,160.8,81.2,1.7419,625,625,0,0
36,232.24,77.2,1.6889,880,880,0,0
37,263.06,77.87,0.8972,1240,1240,0,0
38,279.41,72.07,1.4361,1050,1050,0,0
39,247.1,79.0,2.2944,855,855,0,0
40,188.93,76.13,3.0972,1090,1090,0,0
41,177.0,75.27,2.3508,387,387,0,0
42,255.76,75.2,2.0472,985,985,0,0
43,204.86,77.4,3.2417,585,585,0,0
44,245.95,77.4,4.4889,225,225,0,0
45,217.67,84.6,1.8389,495,495,0,0
46,266.64,79.93,1.5833,560,560,0,0
47,162.85,72.2,1.8347,411,411,0,0
48,301.65,78.27,1.4056,1050,1050,0,0
49,261.59,78.07,1.1417,215,215,0,0
50,239.44,75.87,0.9889,520,520,0,0
51,285.29,74.67,0.925,650,650,0,0
52,229.12,81.13,1.8611,840,840,0,0
53,165.53,83.4,1.1492,404,404,0,0
54,285.37,74.47,2.0389,380,380,0,0
55,243.94,80.4,4.15,480,480,0,0
56,280.39,74.67,1.9167,345,345,0,0
57,293.57,76.8,1.5111,1285,1285,0,0
58,252.59,77.47,1.3306,490,490,0,0
59,190.11,71.67,2.7258,354,354,0,0
60,267.34,77.07,0.7694,800,800,0,0
61,247.39,74.47,2.3111,630,630,0,0
62,237.35,81.6,1.4556,660,660,0,0
63,270.5,77.47,2.2806,765,765,0,0
64,286.75,74.47,1.075,520,520,0,0
65,186.89,74.8,1.1169,384,384,0,0
66,251.33,79.53,0.9889,550,550,0,0
67,229.31,78.2,3.5889,565,565,0,0
68,244.63,71.27,3.7528,270,270,0,0
69,251.56,74.67,3.8,515,515,0,0
70,242.36,80.27,3.1778,820,820,0,0
71,178.12,72.2,1.4597,579,579,0,0
72,186.91,72.4,3.7694,525,525,0,0
73,253.77,76.73,1.6194,810,810,0,0
74,256.18,74.67,1.2111,670,670,0,0
75,250.17,85.2,4.7139,280,280,0,0
76,281.03,74.47,3.0444,930,930,0,0
77,186.95,59.4,2.6976,258,258,0,0
78,294.92,70.87,2.1556,605,605,0,0
79,289.83,71.0,3.1194,540,540,0,0
80,286.14,74.67,2.8528,650,650,0,0
81,270.65,69.67,2.4583,510,510,0,0
82,278.7,74.67,1.8694,210,210,0,0
83,164.77,70.6,6.0968,90,90,0,0
84,278.96,78.0,0.975,600,600,0,0
85,249.02,74.8,2.0917,990,990,0,0
86,279.44,77.6,1.0861,1120,1120,0,0
87,295.81,72.53,0.9556,410,410,0,0
88,225.0,77.2,2.7861,755,755,0,0
89,187.25,70.67,5.9516,198,198,0,0
90,261.99,68.47,4.3361,600,600,0,0
91,257.86,81.4,2.7333,890,890,0,0
92,277.92,79.0,1.6667,540,540,0,0
93,281.53,72.53,1.0694,350,350,0,0
94,266.05,78.93,0.8472,745,745,0,0
95,201.88,75.8,1.875,133,133,0,0
96,256.48,77.53,2.675,120,120,0,0
97,301.62,74.13,1.1444,80,80,0,0
98,233.05,75.13,0.7833,835,835,0,0
99,300.63,71.4,2.6056,245,245,0,0
100,259.09,75.67,5.7111,595,595,0,0
101,180.8,67.73,6.3024,103,103,0,0
102,301.83,78.93,1.2694,560,560,0,0
103,275.66,69.67,3.6667,455,455,0,0
104,247.58,78.2,2.5583,1140,1140,0,0
105,334.41,78.8,0.5472,885,885,0,0
106,285.65,75.2,0.4833,515,515,0,0
107,180.62,78.13,3.6694,451,451,0,0
108,276.19,73.07,3.6222,830,830,0,0
109,272.21,79.33,2.0278,705,705,0,0
110,297.34,75.4,1.7167,425,425,0,0
111,302.55,73.87,0.8,275,275,0,0
112,324.54,73.73,1.1778,440,440,0,0
113,199.77,71.07,2.5968,326,326,0,0
114,302.53,73.73,4.3306,435,435,0,0
115,216.12,78.93,10.8389,265,265,0,0
116,322.65,74.67,0.5111,400,400,0,0
117,297.86,78.13,2.7611,435,435,0,0
118,230.38,69.13,1.2444,435,435,0,0
119,189.41,76.0,3.7218,201,201,0,0
120,251.17,71.73,3.2278,985,985,0,0
121,303.41,76.0,0.5111,645,645,0,0
122,221.28,71.2,4.1333,570,570,0,0
123,322.43,74.67,1.9056,640,640,0,0
124,327.18,71.53,1.1222,620,620,0,0
125,208.7,74.53,1.2903,564,564,0,0
126,296.28,70.8,1.2167,785,785,0,0
127,273.19,66.0,5.8167,345,345,0,0
128,317.47,73.07,1.2833,815,815,0,0
129,273.15,72.53,4.7333,85,85,0,0
130,289.04,71.2,1.1611,885,885,0,0
131,182.8,72.53,1.8992,111,111,0,0
132,279.78,74.2,1.3528,735,735,0,0
133,273.79,77.4,1.2667,850,850,0,0
134,287.35,75.07,1.5889,365,365,0,0
135,274.38,60.27,3.2139,850,850,0,0
136,243.92,79.67,1.6472,365,365,0,0
137,190.12,72.53,3.3468,5,5,0,0
138,195.09,85.87,6.4389,330,330,0,0
139,325.91,71.0,0.5833,525,525,0,0
140,335.64,64.6,0.7694,380,380,0,0
141,274.81,80.47,1.6778,505,505,0,0
142,231.17,75.6,3.6639,120,120,0,0
143,164.31,78.73,1.5766,418,418,0,0
144,273.2,78.93,1.4028,640,640,0,0
145,292.64,72.27,1.0722,635,635,0,0
146,241.5,74.8,2.7361,615,615,0,0
147,285.14,74.6,0.9806,465,465,0,0
148,314.2,79.53,0.4944,380,380,0,0
149,226.57,74.67,0.5806,298,298,0,0
150,291.23,69.27,3.4917,465,465,0,0
151,257.36,68.33,4.2306,335,335,0,0
152,276.78,74.0,1.5194,220,220,0,0
153,261.58,83.2,1.4056,245,245,0,0
154,260.74,76.8,6.1139,435,435,0,0
155,194.97,68.73,4.9839,291,291,0,0
156,310.23,70.53,1.9611,625,625,0,0
157,331.04,70.93,1.2111,585,585,0,0
158,287.16,72.47,4.0139,495,495,0,0
159,304.69,74.8,1.1389,290,290,0,0
160,271.6,69.4,1.7833,1350,1350,0,0
161,169.13,70.93,1.7419,213,213,0,0
162,285.39,76.8,3.7167,670,670,0,0
163,279.9,71.6,0.9083,290,290,0,0
164,251.67,74.27,2.4583,200,200,0,0
165,307.23,73.13,1.9139,395,395,0,0
166,294.89,67.53,1.5056,125,125,0,0
167,206.7,73.13,2.5887,264,264,0,0
168,233.81,74.67,6.1222,220,220,0,0
169,244.3,78.67,3.0528,495,495,0,0
170,289.05,77.4,1.2444,455,455,0,0
171,264.68,66.6,2.0917,465,465,0,0
172,287.87,71.47,1.6361,515,515,0,0
173,151.59,77.27,1.1855,298,298,0,0
174,250.6,69.13,3.4556,715,715,0,0
175,270.91,75.07,4.7722,605,605,0,0
176,316.91,69.0,1.7667,320,320,0,0
177,329.28,70.4,1.0667,515,515,0,0
178,317.84,71.0,0.8667,295,295,0,0
179,222.92,70.8,0.8468,243,243,0,0
180,296.49,71.4,1.3333,1030,1030,0,0
181,312.22,73.0,2.0194,810,810,0,0
182,263.16,75.67,2.1694,615,615,0,0
183,242.94,77.4,1.6167,360,360,0,0
184,319.82,70.4,1.0861,510,510,0,0
185,151.02,75.13,7.1008,444,444,0,0
186,289.67,70.2,0.9306,1620,1620,0,0
187,283.29,70.47,8.0861,425,425,0,0
188,303.97,71.53,3.5889,560,560,0,0
189,287.32,74.93,2.3028,615,615,0,0
190,285.77,71.4,2.6972,565,565,0,0
191,179.62,75.4,3.996,316,316,0,0
192,279.83,76.87,1.3222,495,495,0,0
193,232.52,74.0,3.0639,1070,1070,0,0
194,267.15,77.4,2.8333,1075,1075,0,0
195,285.59,77.27,0.5083,760,760,0,0
196,288.17,74.4,3.1861,160,160,0,0
197,193.46,72.53,6.1855,183,183,0,0
198,297.35,76.6,1.6556,530,530,0,0
199,251.32,80.0,1.5861,625,625,0,0
200,275.58,80.07,1.6222,535,535,0,0
201,300.66,76.67,0.8028,705,705,0,0
202,286.76,73.87,2.5944,220,220,0,0
203,210.39,70.4,2.0403,406,406,0,0
204,259.36,76.27,1.2,535,535,0,0
205,275.39,72.27,2.6083,785,785,0,0
206,309.87,79.0,1.025,400,400,0,0
207,299.31,70.93,4.0806,45,45,0,0
208,319.71,65.53,1.2028,780,780,0,0
209,187.39,70.67,1.6492,592,592,0,0
210,321.77,71.0,2.5833,340,340,0,0
211,306.81,75.07,1.1694,505,505,0,0
212,275.58,74.67,4.5361,970,970,0,0
213,324.11,73.4,2.4333,200,200,0,0
214,198.69,74.67,10.2028,435,435,0,0
215,202.86,74.13,1.2016,213,213,0,0
216,273.74,81.07,1.0833,625,625,0,0
217,302.47,73.07,0.9278,60,60,0,0
218,270.26,76.27,0.9111,510,510,0,0
219,273.99,80.4,1.5556,670,670,0,0
220,243.74,70.13,7.2028,450,450,0,0
221,169.6,75.67,1.7863,190,190,0,0
222,335.56,70.4,0.5444,535,535,0,0
223,241.42,75.13,3.7139,360,360,0,0
224,309.49,73.93,3.2833,715,715,0,0
225,316.48,69.0,1.0778,460,460,0,0
226,263.85,72.47,5.6972,500,500,0,0
227,150.12,73.93,3.3427,328,328,0,0
228,277.72,75.67,1.9111,165,165,0,0
229,260.04,74.67,2.95,210,210,0,0
230,291.52,59.07,10.9917,425,425,0,0
231,261.68,76.87,1.3972,365,365,0,0
232,316.51,72.53,2.7528,380,380,0,0
233,143.45,75.87,7.9355,301,301,0,0
234,286.87,74.67,2.925,795,795,0,0
235,305.26,67.87,3.0444,335,335,0,0
236,291.2,75.2,0.7722,320,320,0,0
237,310.81,70.4,3.1889,410,410,0,0
238,240.17,70.4,8.0278,85,85,0,0
239,197.78,70.13,2.125,1033,1033,0,0
240,291.89,74.53,3.1028,165,165,0,0
241,277.91,74.67,4.3556,545,545,0,0
242,239.86,78.93,7.5056,140,140,0,0
243,233.21,79.8,2.7528,435,435,0,0
