Metric,Value
Total_Episodes,500
Avg_Waiting_Time,250.89
Avg_Queue_Length,71.68
Avg_Throughput,5.2344
Total_Violations,232174
Avg_Violations_Per_Episode,464.35
Total_Phase_Violations,232174
Total_Duration_Violations,0
Total_Actual_Violations,0
Avg_Phase_Violations_Per_Episode,464.35
Avg_Duration_Violations_Per_Episode,0.0
Avg_Actual_Violations_Per_Episode,0.0
