Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Env_Violations
0,304.79,70.4,2.6667,0,0,0,2078
1,289.8,70.67,0.8861,0,0,0,2295
2,258.74,78.4,2.4056,0,0,0,2689
3,314.11,70.4,2.3,0,0,0,1718
4,334.27,64.0,3.3,0,0,0,2235
5,337.6,60.13,2.5167,0,0,0,1074
6,314.02,64.0,6.85,0,0,0,735
7,300.05,64.0,9.3222,0,0,0,1218
8,210.18,50.67,33.2667,0,0,0,118
9,324.24,37.33,29.3444,0,0,0,273
10,277.89,50.67,23.7111,0,0,0,563
11,233.96,50.67,29.8944,0,0,0,260
12,333.18,37.33,28.4167,0,0,0,13
13,247.31,64.0,18.6333,0,0,0,684
14,307.47,37.33,31.0833,0,0,0,226
15,357.11,24.0,39.3833,0,0,0,0
16,295.0,48.53,21.6722,0,0,0,537
17,240.69,37.33,38.0833,0,0,0,37
18,326.06,37.33,29.1556,0,0,0,367
19,329.67,50.67,16.45,0,0,0,293
20,256.05,34.73,38.1944,0,0,0,66
21,274.24,50.67,24.15,0,0,0,94
22,353.57,37.33,26.3778,0,0,0,353
23,357.11,24.0,39.3833,0,0,0,0
24,250.98,50.67,27.6,0,0,0,322
25,306.02,37.33,31.2333,0,0,0,112
26,308.89,37.33,31.0111,0,0,0,13
27,357.11,24.0,39.3833,0,0,0,0
28,336.06,50.67,15.45,0,0,0,328
29,331.53,45.27,16.0278,0,0,0,992
30,313.2,37.33,30.4889,0,0,0,242
31,313.1,37.33,30.6,0,0,0,239
32,317.68,50.67,17.9944,0,0,0,573
33,276.0,50.67,24.0778,0,0,0,417
34,315.77,50.67,18.3056,0,0,0,534
35,349.95,37.33,26.6778,0,0,0,144
36,276.04,64.0,13.6,0,0,0,703
37,266.06,37.33,35.3778,0,0,0,140
38,262.48,50.67,26.0056,0,0,0,365
39,338.35,50.67,15.3278,0,0,0,656
40,327.82,37.33,28.9722,0,0,0,283
41,308.96,50.67,19.3389,0,0,0,204
42,307.47,37.33,31.0833,0,0,0,1
43,311.59,50.67,18.9944,0,0,0,557
44,326.06,37.33,29.1556,0,0,0,268
45,310.26,35.47,31.3778,0,0,0,460
46,352.29,50.27,13.3389,0,0,0,723
47,251.27,37.33,37.0111,0,0,0,66
48,325.68,37.33,29.1944,0,0,0,277
49,351.29,37.33,26.6389,0,0,0,27
50,357.11,24.0,39.3833,0,0,0,0
51,354.26,37.33,26.3056,0,0,0,355
52,354.64,37.33,26.2556,0,0,0,8
53,304.63,37.33,31.3778,0,0,0,0
54,326.06,37.33,29.1556,0,0,0,255
55,309.16,50.67,19.4111,0,0,0,834
