Metric,Value
Total_Episodes,500
Avg_Waiting_Time,244.47
Avg_Queue_Length,65.44
Avg_Throughput,9.9757
Total_Violations,396230
Avg_Violations_Per_Episode,792.46
Total_Phase_Violations,396230
Total_Duration_Violations,0
Total_Actual_Violations,0
Avg_Phase_Violations_Per_Episode,792.46
Avg_Duration_Violations_Per_Episode,0.0
Avg_Actual_Violations_Per_Episode,0.0
