Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Actual_Violations
0,229.47,80.33,1.8611,1500,1500,0,0
1,193.35,85.53,4.2722,1050,1050,0,0
2,204.08,84.27,0.9861,800,800,0,0
3,206.17,78.13,2.1528,1205,1205,0,0
4,179.17,83.47,1.4944,1050,1050,0,0
5,182.2,79.33,0.9798,769,769,0,0
6,206.12,84.8,1.8806,1315,1315,0,0
7,206.38,85.6,1.2167,1980,1980,0,0
8,264.16,79.73,1.2611,1245,1245,0,0
9,222.82,81.73,1.5361,1785,1785,0,0
10,174.07,81.8,2.4028,1700,1700,0,0
11,157.64,84.0,5.3992,838,838,0,0
12,181.96,81.6,1.2417,1015,1015,0,0
13,175.18,78.27,2.5528,1590,1590,0,0
14,220.8,83.93,1.6833,1270,1270,0,0
15,244.73,77.2,1.7306,1095,1095,0,0
16,239.33,76.8,2.8167,1705,1705,0,0
17,156.9,80.73,1.1452,908,908,0,0
18,190.25,78.8,1.4917,1425,1425,0,0
19,206.46,83.6,1.0167,2035,2035,0,0
20,188.68,77.93,3.8444,1415,1415,0,0
21,196.41,83.27,2.3944,1450,1450,0,0
22,186.78,80.07,4.2889,1740,1740,0,0
23,166.47,79.53,2.2702,841,841,0,0
24,209.35,81.33,1.525,1825,1825,0,0
25,247.02,77.27,1.3417,1580,1580,0,0
26,190.7,82.13,1.0167,1680,1680,0,0
27,234.69,77.73,0.9472,1735,1735,0,0
28,248.07,80.6,1.2611,1905,1905,0,0
29,145.23,84.13,2.9435,961,961,0,0
30,245.97,83.47,1.9389,1190,1190,0,0
31,268.75,77.6,1.3528,1310,1310,0,0
32,237.89,79.27,2.1306,1545,1545,0,0
33,223.81,89.2,2.9444,1630,1630,0,0
34,209.46,80.07,1.5722,2135,2135,0,0
35,153.9,78.93,2.0887,721,721,0,0
36,250.86,78.67,1.65,1645,1645,0,0
37,273.12,76.53,1.05,1795,1795,0,0
38,213.06,79.2,0.9583,1715,1715,0,0
39,221.72,83.93,2.275,1290,1290,0,0
40,233.19,85.13,0.7278,1230,1230,0,0
41,126.29,77.53,1.5524,1165,1165,0,0
42,214.77,78.33,4.1861,1085,1085,0,0
43,255.99,76.33,2.8417,1845,1845,0,0
44,259.49,75.0,1.1667,1855,1855,0,0
45,213.9,82.13,1.5361,1705,1705,0,0
46,184.48,74.47,2.2333,2065,2065,0,0
47,161.1,81.6,1.8669,1222,1222,0,0
48,243.29,82.33,1.8222,1865,1865,0,0
49,224.11,81.53,1.55,1245,1245,0,0
50,203.64,80.2,1.6528,1230,1230,0,0
51,193.66,80.4,2.1417,1605,1605,0,0
52,219.54,76.2,1.5806,1720,1720,0,0
53,145.43,79.6,2.8669,955,955,0,0
54,232.44,77.53,1.825,2195,2195,0,0
55,219.18,79.6,3.7778,1270,1270,0,0
56,178.89,76.93,3.5361,1420,1420,0,0
57,208.03,73.73,1.5194,2580,2580,0,0
58,201.25,76.53,1.1861,1490,1490,0,0
59,137.56,73.6,2.6976,822,822,0,0
60,269.6,82.53,1.1222,1525,1525,0,0
61,255.83,78.87,1.3556,1470,1470,0,0
62,218.06,75.4,0.7694,1325,1325,0,0
63,242.63,77.6,3.2361,1435,1435,0,0
64,231.02,78.47,1.5028,1550,1550,0,0
65,132.94,79.87,2.4677,734,734,0,0
66,238.25,79.87,3.2167,1145,1145,0,0
67,198.49,85.07,2.9639,1805,1805,0,0
68,251.46,81.73,1.0278,1645,1645,0,0
69,260.6,81.8,1.8167,930,930,0,0
70,242.65,83.67,0.9083,1080,1080,0,0
71,126.65,75.8,7.5242,722,722,0,0
72,219.0,74.8,1.5278,1275,1275,0,0
73,269.24,78.8,0.6361,1605,1605,0,0
74,287.07,78.53,1.8889,1230,1230,0,0
75,211.04,82.6,2.725,1005,1005,0,0
76,261.0,77.13,0.7028,1785,1785,0,0
77,176.13,80.0,1.1452,1036,1036,0,0
78,264.81,80.73,2.6083,1630,1630,0,0
79,274.6,75.93,0.9056,925,925,0,0
80,251.81,80.13,1.1222,980,980,0,0
81,268.52,82.53,2.0639,1655,1655,0,0
82,200.8,84.2,1.0694,1110,1110,0,0
