Metric,Value
Total_Episodes,500
Avg_Waiting_Time,239.55
Avg_Queue_Length,72.32
Avg_Throughput,4.5375
Total_Violations,228656
Avg_Violations_Per_Episode,457.31
Total_Phase_Violations,228656
Total_Duration_Violations,0
Total_Actual_Violations,0
Avg_Phase_Violations_Per_Episode,457.31
Avg_Duration_Violations_Per_Episode,0.0
Avg_Actual_Violations_Per_Episode,0.0
