Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Actual_Violations
0,198.06,57.67,7.7528,645,645,0,0
1,287.57,81.0,0.4611,370,370,0,0
2,212.87,74.2,3.2528,645,645,0,0
3,250.47,78.93,1.3083,235,235,0,0
4,222.52,77.73,0.4778,875,875,0,0
5,156.27,72.33,1.4879,519,519,0,0
6,191.66,73.8,3.8417,730,730,0,0
7,311.74,75.93,0.4333,1040,1040,0,0
8,236.2,74.07,0.7611,535,535,0,0
9,247.82,76.47,4.6861,1200,1200,0,0
10,252.75,74.87,3.4389,445,445,0,0
11,170.18,74.2,3.629,439,439,0,0
12,250.36,81.07,1.3111,335,335,0,0
13,221.09,74.6,2.1944,630,630,0,0
14,204.92,81.2,5.7083,590,590,0,0
15,255.5,75.2,2.4278,730,730,0,0
16,261.19,59.67,1.8778,825,825,0,0
17,153.62,72.2,3.2419,312,312,0,0
18,293.51,76.6,1.3167,1100,1100,0,0
19,213.82,80.2,3.2694,130,130,0,0
20,200.05,74.73,4.5972,660,660,0,0
21,268.02,74.53,5.3222,800,800,0,0
22,291.44,81.07,1.8528,730,730,0,0
23,170.35,75.6,6.0685,401,401,0,0
24,303.03,71.6,1.1222,625,625,0,0
25,251.02,75.87,1.5417,795,795,0,0
26,283.54,75.4,2.7361,945,945,0,0
27,268.06,80.8,1.8361,535,535,0,0
28,233.51,61.93,3.3889,620,620,0,0
29,204.76,76.8,0.5806,397,397,0,0
30,239.69,83.13,2.0889,560,560,0,0
31,230.28,78.2,1.0917,225,225,0,0
32,230.64,75.93,1.4083,1110,1110,0,0
33,258.68,78.93,0.6583,580,580,0,0
34,209.89,76.93,6.5806,535,535,0,0
35,163.93,75.6,1.6613,899,899,0,0
36,199.08,79.2,2.0417,620,620,0,0
37,219.15,76.07,1.4194,715,715,0,0
38,240.17,81.53,1.0083,330,330,0,0
39,265.98,72.73,1.5333,945,945,0,0
40,239.66,70.67,1.6194,590,590,0,0
41,158.04,74.67,1.3629,434,434,0,0
42,213.58,78.67,2.8306,705,705,0,0
43,259.16,66.2,6.3861,110,110,0,0
