Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Actual_Violations
0,198.34,81.47,1.7833,795,795,0,0
1,174.87,85.0,3.2306,1805,1805,0,0
2,230.98,83.07,2.1472,1435,1435,0,0
3,177.1,78.87,1.9944,850,850,0,0
4,170.13,75.67,2.6083,940,940,0,0
5,131.28,71.4,2.6371,454,454,0,0
6,230.07,81.47,5.4389,1040,1040,0,0
7,181.32,80.47,3.0861,760,760,0,0
8,210.7,79.87,1.55,730,730,0,0
9,205.08,78.73,1.8056,1130,1130,0,0
10,229.3,80.8,3.125,820,820,0,0
11,170.86,82.27,1.1452,935,935,0,0
12,252.42,79.6,2.225,610,610,0,0
13,182.82,81.27,2.5833,1325,1325,0,0
14,266.59,72.87,1.95,345,345,0,0
15,263.67,78.13,1.1528,645,645,0,0
16,243.02,82.07,3.4472,620,620,0,0
17,126.15,87.53,3.3226,664,664,0,0
18,236.05,79.87,1.0639,330,330,0,0
19,244.48,81.93,0.8889,885,885,0,0
20,247.17,83.33,4.2583,590,590,0,0
21,223.28,70.2,3.1222,1240,1240,0,0
22,223.99,76.4,1.475,690,690,0,0
23,171.66,76.2,1.2863,381,381,0,0
24,179.57,82.8,4.4694,1340,1340,0,0
25,215.11,81.07,2.4917,1055,1055,0,0
26,262.84,76.4,1.75,590,590,0,0
27,274.97,76.8,1.275,635,635,0,0
28,231.11,78.27,1.4528,1160,1160,0,0
29,192.44,84.87,1.0121,612,612,0,0
30,212.9,77.4,1.9778,665,665,0,0
31,237.91,74.2,1.175,525,525,0,0
32,237.24,77.2,1.65,1160,1160,0,0
33,215.43,81.47,1.1639,965,965,0,0
34,234.17,80.33,2.0722,1410,1410,0,0
35,140.15,79.93,1.3105,245,245,0,0
36,206.04,77.07,2.0667,485,485,0,0
37,291.07,80.2,0.7111,820,820,0,0
38,264.17,77.6,1.2083,1155,1155,0,0
39,240.09,87.93,1.6028,600,600,0,0
40,281.93,72.33,1.7778,910,910,0,0
41,171.83,77.13,3.3952,409,409,0,0
42,268.25,80.13,0.6722,775,775,0,0
43,252.71,80.8,2.275,605,605,0,0
44,220.21,80.2,0.9278,540,540,0,0
45,295.93,77.2,0.6167,1370,1370,0,0
46,252.34,78.87,1.3806,860,860,0,0
47,171.73,76.67,1.254,296,296,0,0
48,224.65,76.47,4.7944,275,275,0,0
49,234.35,74.2,3.0722,1000,1000,0,0
50,245.68,81.27,2.225,1495,1495,0,0
51,200.51,73.07,2.5056,915,915,0,0
52,219.22,74.93,1.3278,685,685,0,0
53,140.82,83.07,2.9194,619,619,0,0
54,241.63,77.33,3.4694,695,695,0,0
55,301.93,71.2,1.8222,380,380,0,0
56,222.15,73.6,1.3861,460,460,0,0
57,243.93,78.8,1.4361,870,870,0,0
58,276.52,78.73,3.6194,455,455,0,0
59,203.11,72.67,2.3226,254,254,0,0
60,285.76,74.67,1.5278,790,790,0,0
61,212.64,76.87,4.7083,970,970,0,0
62,276.14,83.2,0.7722,800,800,0,0
63,269.6,74.27,1.55,565,565,0,0
64,275.78,80.93,0.9889,950,950,0,0
65,172.82,77.2,2.4516,133,133,0,0
66,242.6,79.13,2.5833,530,530,0,0
67,255.57,76.67,1.3833,355,355,0,0
68,229.96,74.87,2.6333,510,510,0,0
