Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Env_Violations
0,306.75,69.47,1.15,0,0,0,2385
1,277.34,73.87,1.4556,0,0,0,2663
2,298.93,66.13,2.7667,0,0,0,2228
3,288.32,66.0,6.15,0,0,0,1578
4,283.66,72.53,3.4833,0,0,0,1260
5,337.94,64.0,2.5222,0,0,0,2176
6,338.42,64.0,2.5306,0,0,0,1774
7,256.28,64.0,17.1889,0,0,0,457
8,292.43,62.67,11.1778,0,0,0,993
9,267.45,37.33,35.2333,0,0,0,114
10,207.69,64.0,25.7778,0,0,0,230
11,351.06,50.67,13.3389,0,0,0,755
12,320.78,50.67,17.6,0,0,0,679
13,236.06,37.33,38.4889,0,0,0,26
14,343.1,37.33,27.4889,0,0,0,323
15,357.11,24.0,39.3833,0,0,0,0
16,318.44,26.93,39.3472,0,0,0,2
17,249.85,50.67,27.7833,0,0,0,317
18,305.28,64.0,8.2111,0,0,0,770
19,353.61,37.33,26.2556,0,0,0,477
20,357.11,24.0,39.3833,0,0,0,0
21,357.11,24.0,39.3833,0,0,0,0
22,265.93,32.47,39.0444,0,0,0,11
23,231.87,50.67,30.1889,0,0,0,306
24,297.45,37.33,32.1222,0,0,0,198
25,283.87,50.67,22.8667,0,0,0,101
26,242.65,50.67,28.6722,0,0,0,293
27,275.8,50.67,24.0056,0,0,0,419
28,291.93,46.67,23.3639,0,0,0,600
29,318.45,37.33,30.0444,0,0,0,296
30,352.84,37.33,26.3778,0,0,0,1
31,333.77,37.33,28.4556,0,0,0,455
32,255.4,64.0,17.2222,0,0,0,682
33,354.88,37.33,26.2667,0,0,0,356
34,235.97,50.67,29.7111,0,0,0,268
35,340.33,37.33,27.75,0,0,0,66
36,288.33,50.67,22.2667,0,0,0,560
37,353.57,37.33,26.3778,0,0,0,5
38,354.5,37.33,26.2778,0,0,0,356
39,353.61,37.33,26.2556,0,0,0,354
40,305.7,37.33,31.2667,0,0,0,1
41,305.36,37.33,31.3778,0,0,0,218
42,318.9,37.33,29.9722,0,0,0,256
43,321.43,64.0,5.4833,0,0,0,646
44,281.33,50.67,23.2278,0,0,0,425
45,212.52,64.0,24.7444,0,0,0,411
46,260.8,50.67,26.1167,0,0,0,251
47,271.58,50.67,24.6,0,0,0,583
48,271.05,50.67,24.6,0,0,0,471
49,310.71,37.33,30.8222,0,0,0,89
50,300.34,37.33,31.8222,0,0,0,1
51,228.99,50.67,30.5944,0,0,0,241
52,293.17,37.33,32.5667,0,0,0,19
53,308.37,50.67,19.5222,0,0,0,584
54,349.25,37.33,26.75,0,0,0,7
55,344.97,37.33,27.1944,0,0,0,0
56,354.64,37.33,26.2556,0,0,0,40
57,346.74,37.33,27.0111,0,0,0,0
58,315.01,63.13,6.6333,0,0,0,612
59,262.56,50.67,25.8944,0,0,0,27
60,275.19,64.0,13.7778,0,0,0,86
61,350.7,37.33,26.6,0,0,0,0
62,354.61,37.33,26.2611,0,0,0,667
63,354.61,37.33,26.2611,0,0,0,6
64,354.88,35.2,26.2556,0,0,0,29
