Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Env_Violations
136,357.11,24.0,39.3833,0,0,0,0
137,285.49,64.0,11.7944,0,0,0,316
138,270.58,50.67,24.6222,0,0,0,46
139,354.99,37.33,26.2556,0,0,0,0
140,345.03,63.73,1.4667,0,0,0,516
141,355.91,33.07,26.2556,0,0,0,357
142,274.22,50.67,24.3278,0,0,0,325
143,264.26,50.67,25.5139,0,0,0,378
144,307.4,50.67,19.5833,0,0,0,265
145,326.05,50.67,16.9167,0,0,0,0
146,353.61,37.33,26.2556,0,0,0,0
147,292.43,52.8,19.8444,0,0,0,575
148,311.86,50.67,18.9556,0,0,0,341
149,354.99,37.33,26.2556,0,0,0,0
150,354.99,37.33,26.2556,0,0,0,171
151,357.11,24.0,39.3833,0,0,0,0
152,354.99,37.33,26.2556,0,0,0,286
153,354.99,37.33,26.2556,0,0,0,353
154,353.61,37.33,26.2556,0,0,0,0
155,353.61,37.33,26.2556,0,0,0,0
156,264.01,50.67,25.6222,0,0,0,113
157,354.64,37.33,26.2556,0,0,0,244
158,357.11,24.0,39.3833,0,0,0,0
159,357.11,24.0,39.3833,0,0,0,0
160,277.91,50.67,23.7333,0,0,0,70
161,342.73,39.47,26.2556,0,0,0,456
162,354.99,37.33,26.2556,0,0,0,294
163,301.37,50.67,20.2889,0,0,0,0
164,316.83,62.73,6.5056,0,0,0,892
165,354.64,37.33,26.2556,0,0,0,4
166,354.64,37.33,26.2556,0,0,0,480
167,321.32,64.0,5.4333,0,0,0,856
168,351.39,50.67,13.25,0,0,0,353
169,344.26,50.67,14.3278,0,0,0,324
170,354.64,37.33,26.2556,0,0,0,5
171,329.25,50.67,16.4722,0,0,0,113
172,354.64,37.33,26.2556,0,0,0,6
173,292.58,50.67,21.7333,0,0,0,372
174,354.64,37.33,26.2556,0,0,0,3
175,354.64,37.33,26.2556,0,0,0,1
176,354.64,37.33,26.2556,0,0,0,1
177,354.64,37.33,26.2556,0,0,0,0
178,314.77,50.67,18.5111,0,0,0,211
179,354.64,37.33,26.2556,0,0,0,0
180,272.35,47.8,24.0278,0,0,0,155
181,295.56,50.67,21.25,0,0,0,137
182,317.39,50.67,18.1778,0,0,0,220
183,353.45,50.67,13.1333,0,0,0,86
184,352.69,50.67,13.1333,0,0,0,0
185,354.64,37.33,26.2556,0,0,0,1
186,353.45,50.67,13.1333,0,0,0,0
187,353.61,37.33,26.2556,0,0,0,0
188,354.64,37.33,26.2556,0,0,0,359
189,299.77,50.67,20.6222,0,0,0,513
190,246.43,37.33,37.4889,0,0,0,53
191,322.69,50.67,17.2889,0,0,0,244
192,353.61,37.33,26.2556,0,0,0,204
193,353.61,37.33,26.2556,0,0,0,0
194,302.49,37.33,31.6,0,0,0,121
195,351.8,50.67,13.1861,0,0,0,355
196,354.99,37.33,26.2556,0,0,0,110
197,357.11,24.0,39.3833,0,0,0,0
198,352.16,50.67,13.2167,0,0,0,5
199,324.23,64.0,4.9167,0,0,0,529
200,328.95,40.27,26.25,0,0,0,361
201,357.11,24.0,39.3833,0,0,0,0
202,354.64,37.33,26.2556,0,0,0,359
203,353.61,37.33,26.2556,0,0,0,0
204,336.38,66.13,0.25,0,0,0,748
205,328.0,40.27,26.2361,0,0,0,184
206,353.61,37.33,26.2556,0,0,0,266
