Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Env_Violations
0,324.4,66.13,3.3722,0,0,0,2367
1,285.49,71.27,0.8389,0,0,0,2266
2,267.8,71.2,2.775,0,0,0,2145
3,330.66,64.0,3.8167,0,0,0,1711
4,332.14,64.0,3.6278,0,0,0,1489
5,269.39,65.67,11.9778,0,0,0,1596
6,244.42,64.0,19.2222,0,0,0,496
7,264.16,64.0,15.7389,0,0,0,695
8,309.39,50.67,19.3778,0,0,0,657
9,286.78,50.67,22.5611,0,0,0,1207
10,285.94,37.33,33.4167,0,0,0,163
11,297.89,50.67,20.9722,0,0,0,695
12,348.89,50.67,13.8111,0,0,0,695
13,333.14,50.67,15.8611,0,0,0,639
14,288.46,50.67,22.15,0,0,0,235
15,321.3,64.0,5.3778,0,0,0,793
16,357.11,24.0,39.3833,0,0,0,0
17,250.52,50.67,27.6389,0,0,0,321
18,260.8,50.67,26.1167,0,0,0,259
19,327.99,50.67,16.6806,0,0,0,319
20,347.14,37.33,27.0444,0,0,0,335
21,263.89,37.33,35.6778,0,0,0,102
22,342.94,50.67,14.4389,0,0,0,1312
23,357.11,24.0,39.3833,0,0,0,0
24,357.11,24.0,39.3833,0,0,0,0
25,357.11,24.0,39.3833,0,0,0,0
26,351.62,50.67,13.2167,0,0,0,143
27,238.42,50.67,29.2667,0,0,0,139
28,291.77,37.33,32.7111,0,0,0,182
29,307.99,50.67,19.6,0,0,0,530
30,336.97,50.67,15.5222,0,0,0,330
31,254.61,64.0,17.2611,0,0,0,446
32,353.19,50.67,13.1778,0,0,0,1155
33,286.38,30.0,39.2667,0,0,0,5
34,345.71,50.67,14.2667,0,0,0,682
35,274.48,50.67,24.1167,0,0,0,416
36,245.07,64.0,19.0333,0,0,0,626
37,352.1,50.67,13.3333,0,0,0,592
38,254.23,50.67,26.9667,0,0,0,339
39,276.06,50.67,23.8944,0,0,0,206
40,269.74,50.67,24.7833,0,0,0,567
41,259.58,64.0,16.3778,0,0,0,430
42,250.0,64.0,18.1556,0,0,0,390
43,306.93,64.0,8.1111,0,0,0,412
44,228.8,64.0,21.85,0,0,0,149
