Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Actual_Violations
0,194.9,81.67,1.8139,1200,1200,0,0
1,249.07,76.93,0.5917,1460,1460,0,0
2,242.04,79.27,1.7139,1020,1020,0,0
3,233.93,76.73,1.9528,1220,1220,0,0
4,216.75,74.07,1.7167,1670,1670,0,0
5,130.99,73.93,5.7258,830,830,0,0
6,248.13,71.67,0.9611,1990,1990,0,0
7,249.3,79.73,1.4778,1135,1135,0,0
8,197.45,76.13,4.1028,1185,1185,0,0
9,231.75,83.13,1.0722,1185,1185,0,0
10,295.39,80.73,0.8056,900,900,0,0
11,124.15,71.13,2.7823,571,571,0,0
12,217.8,73.6,2.3528,1005,1005,0,0
13,264.47,75.53,2.3639,1045,1045,0,0
14,212.28,80.13,0.9917,1765,1765,0,0
15,224.72,81.6,3.175,770,770,0,0
16,287.1,89.33,0.6639,940,940,0,0
17,192.37,77.13,1.6008,286,286,0,0
18,214.75,73.2,1.75,570,570,0,0
19,267.79,75.0,2.0778,705,705,0,0
20,249.29,78.87,2.4528,370,370,0,0
21,262.84,78.33,2.6667,1065,1065,0,0
22,223.07,74.0,1.2472,1310,1310,0,0
23,181.18,82.27,2.3589,336,336,0,0
24,289.31,76.07,0.9028,910,910,0,0
25,258.04,77.87,0.4944,1190,1190,0,0
26,239.27,85.93,1.2111,600,600,0,0
27,210.54,79.47,3.3,550,550,0,0
28,276.54,78.13,2.6917,1230,1230,0,0
29,138.77,76.8,5.1895,386,386,0,0
30,237.62,72.6,1.95,780,780,0,0
31,219.44,77.8,2.525,625,625,0,0
32,320.42,67.73,9.675,685,685,0,0
33,270.62,71.13,1.0111,485,485,0,0
34,310.78,77.73,1.1639,620,620,0,0
35,143.28,76.47,4.0202,508,508,0,0
36,302.69,76.8,0.7167,585,585,0,0
37,237.71,82.33,1.1389,615,615,0,0
38,272.97,80.4,0.8333,805,805,0,0
39,314.76,74.67,4.6167,140,140,0,0
40,276.22,81.07,1.2389,970,970,0,0
41,186.63,75.93,0.8266,1112,1112,0,0
42,232.78,79.33,4.2472,270,270,0,0
43,258.17,80.4,2.2556,450,450,0,0
44,233.58,77.93,2.3167,895,895,0,0
45,284.51,78.93,3.1278,605,605,0,0
46,254.72,76.67,0.575,400,400,0,0
47,193.81,73.4,2.3468,595,595,0,0
48,212.07,77.13,2.5194,1370,1370,0,0
49,305.52,72.53,1.1472,15,15,0,0
50,279.02,70.53,1.2611,835,835,0,0
51,269.57,84.27,2.6806,410,410,0,0
52,217.04,70.0,3.5028,435,435,0,0
53,180.35,76.73,1.0524,313,313,0,0
54,261.3,79.93,2.1389,380,380,0,0
55,260.55,79.27,0.9639,425,425,0,0
56,292.87,76.4,0.8333,595,595,0,0
57,207.21,73.27,3.9139,550,550,0,0
58,226.5,74.13,3.2722,390,390,0,0
59,153.78,83.13,3.2581,40,40,0,0
60,302.24,73.73,1.3611,425,425,0,0
61,246.19,91.67,1.3222,790,790,0,0
62,293.33,76.8,1.0944,770,770,0,0
