Metric,Value
Total_Episodes,500
Avg_Waiting_Time,258.91
Avg_Queue_Length,67.23
Avg_Throughput,7.2837
Total_Violations,200502
Avg_Violations_Per_Episode,401.0
Total_Phase_Violations,200502
Total_Duration_Violations,0
Total_Actual_Violations,0
Avg_Phase_Violations_Per_Episode,401.0
Avg_Duration_Violations_Per_Episode,0.0
Avg_Actual_Violations_Per_Episode,0.0
