Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Env_Violations
0,290.52,72.53,0.0917,0,0,0,2569
1,294.2,64.13,3.5056,0,0,0,1984
2,261.75,76.8,0.8389,0,0,0,2009
3,273.38,67.53,2.6056,0,0,0,2159
4,331.36,66.13,2.7444,0,0,0,1398
5,337.59,63.33,2.8222,0,0,0,2026
6,306.24,64.0,8.3222,0,0,0,1146
7,249.47,66.13,15.5944,0,0,0,874
8,304.96,64.0,8.3806,0,0,0,1215
9,288.56,37.33,33.0444,0,0,0,173
10,357.11,24.0,39.3833,0,0,0,0
11,353.61,37.33,26.2556,0,0,0,359
12,341.03,37.33,27.6778,0,0,0,27
13,318.9,37.33,29.9722,0,0,0,305
14,354.64,37.33,26.2556,0,0,0,4
15,240.69,37.33,38.0833,0,0,0,37
16,241.42,37.33,37.9333,0,0,0,41
17,327.72,37.33,29.0833,0,0,0,280
18,319.52,37.33,29.9333,0,0,0,26
19,297.85,50.67,20.9278,0,0,0,502
20,357.11,24.0,39.3833,0,0,0,0
21,354.64,37.33,26.2556,0,0,0,27
22,353.41,37.33,26.3139,0,0,0,693
23,236.86,50.67,29.5611,0,0,0,269
24,314.17,37.33,30.4889,0,0,0,0
25,262.5,37.33,35.8222,0,0,0,98
26,353.57,37.33,26.3778,0,0,0,3
27,357.11,24.0,39.3833,0,0,0,0
28,353.89,37.33,26.3444,0,0,0,1
29,352.96,50.67,13.1278,0,0,0,716
30,349.79,50.67,13.55,0,0,0,401
31,263.86,50.67,25.6833,0,0,0,482
32,328.17,37.33,29.0111,0,0,0,130
33,214.46,50.67,32.6389,0,0,0,186
34,326.25,50.67,16.9944,0,0,0,308
35,299.46,64.0,9.3944,0,0,0,952
36,275.55,50.67,24.1167,0,0,0,63
37,353.47,50.67,13.1278,0,0,0,6
38,282.48,37.33,33.75,0,0,0,154
39,333.44,50.67,15.8833,0,0,0,541
40,335.74,50.67,15.4778,0,0,0,696
41,331.73,64.0,3.7556,0,0,0,617
42,314.77,50.67,18.5111,0,0,0,281
43,271.44,64.0,14.4333,0,0,0,327
44,354.64,37.33,26.2556,0,0,0,3
45,248.17,50.67,27.8944,0,0,0,191
46,328.19,50.67,16.6222,0,0,0,266
47,351.34,50.67,13.4389,0,0,0,212
48,343.44,50.67,14.55,0,0,0,72
49,297.35,64.0,9.8667,0,0,0,853
50,354.64,37.33,26.2556,0,0,0,4
51,287.82,29.87,39.2333,0,0,0,6
52,205.18,50.67,34.0444,0,0,0,148
53,318.92,64.0,6.0778,0,0,0,202
54,242.06,64.0,19.6667,0,0,0,378
55,329.17,37.33,28.9333,0,0,0,3
56,252.93,50.67,27.3,0,0,0,330
57,334.74,50.67,15.7111,0,0,0,643
58,313.17,37.33,30.5667,0,0,0,240
59,353.41,37.33,26.3139,0,0,0,112
60,320.67,37.33,29.7889,0,0,0,261
61,342.09,46.67,15.4056,0,0,0,577
62,305.02,50.67,19.8833,0,0,0,394
63,326.1,50.67,16.9167,0,0,0,445
64,277.66,50.67,23.7333,0,0,0,320
65,333.2,50.67,15.9167,0,0,0,286
66,354.64,37.33,26.2556,0,0,0,72
67,354.64,37.33,26.2556,0,0,0,4
68,292.92,50.67,21.6611,0,0,0,384
69,342.93,50.67,14.6222,0,0,0,534
70,337.4,50.67,15.4,0,0,0,505
71,292.64,50.67,21.7111,0,0,0,530
72,288.2,50.67,22.25,0,0,0,112
73,354.64,37.33,26.2556,0,0,0,2
74,350.03,50.67,13.6222,0,0,0,489
75,354.64,37.33,26.2556,0,0,0,4
76,237.1,50.67,29.5278,0,0,0,270
77,331.32,46.87,16.0667,0,0,0,358
78,274.5,50.67,24.1778,0,0,0,62
79,289.78,50.67,22.0278,0,0,0,120
80,354.64,37.33,26.2556,0,0,0,2
81,301.62,50.67,20.3611,0,0,0,93
82,351.08,50.67,13.4,0,0,0,207
83,354.64,37.33,26.2556,0,0,0,0
84,263.89,37.33,35.6778,0,0,0,102
85,329.73,47.53,17.3278,0,0,0,272
86,348.21,37.33,26.9333,0,0,0,0
87,263.89,37.33,35.6778,0,0,0,102
88,199.48,50.67,34.6722,0,0,0,131
89,328.52,47.73,16.4722,0,0,0,293
90,354.64,37.33,26.2556,0,0,0,0
91,344.03,50.67,14.3611,0,0,0,359
92,298.98,50.67,20.7333,0,0,0,279
93,354.64,37.33,26.2556,0,0,0,0
94,349.52,43.53,13.6944,0,0,0,372
95,349.53,50.67,13.5111,0,0,0,1005
96,336.22,48.6,15.4722,0,0,0,7
97,354.64,37.33,26.2556,0,0,0,416
98,350.81,50.67,13.4389,0,0,0,21
99,276.55,62.0,13.25,0,0,0,593
100,327.16,48.67,16.7722,0,0,0,258
101,354.64,37.33,26.2556,0,0,0,342
102,285.34,48.53,22.4,0,0,0,250
103,354.64,37.33,26.2556,0,0,0,348
104,351.6,50.67,13.3278,0,0,0,512
105,354.64,37.33,26.2556,0,0,0,0
106,352.66,50.67,13.15,0,0,0,357
107,337.13,50.67,15.4389,0,0,0,0
108,354.64,37.33,26.2556,0,0,0,349
109,338.0,49.87,15.4722,0,0,0,291
110,302.66,61.07,8.5444,0,0,0,482
111,331.88,50.67,16.1778,0,0,0,480
112,309.77,50.67,19.2889,0,0,0,540
113,351.36,50.67,13.3611,0,0,0,348
114,306.61,50.67,19.7333,0,0,0,344
115,318.46,50.67,18.0667,0,0,0,261
116,289.76,50.67,22.1056,0,0,0,3
117,354.64,37.33,26.2556,0,0,0,343
118,276.1,50.67,24.0278,0,0,0,62
119,354.64,37.33,26.2556,0,0,0,0
120,349.78,50.67,13.5833,0,0,0,0
121,280.57,50.67,23.2167,0,0,0,443
122,354.64,37.33,26.2556,0,0,0,0
123,353.61,37.33,26.2556,0,0,0,385
124,354.64,37.33,26.2556,0,0,0,0
125,353.45,50.67,13.1333,0,0,0,2
126,307.13,50.67,19.6611,0,0,0,213
127,349.18,50.67,13.6611,0,0,0,193
128,351.5,64.0,0.1667,0,0,0,1
129,353.45,50.67,13.1333,0,0,0,0
130,354.64,37.33,26.2556,0,0,0,0
131,357.11,24.0,39.3833,0,0,0,0
132,293.98,50.67,21.5111,0,0,0,207
133,316.62,50.67,18.25,0,0,0,416
134,262.55,64.0,15.9889,0,0,0,281
135,351.9,50.67,13.15,0,0,0,292
136,349.76,50.67,13.6611,0,0,0,334
137,354.64,37.33,26.2556,0,0,0,0
138,307.94,50.67,19.4389,0,0,0,195
139,320.03,50.67,17.8444,0,0,0,229
140,357.11,24.0,39.3833,0,0,0,0
141,357.11,24.0,39.3833,0,0,0,0
142,354.64,37.33,26.2556,0,0,0,0
143,322.92,50.67,17.4389,0,0,0,250
144,261.31,64.0,16.1778,0,0,0,442
145,341.36,50.67,14.6611,0,0,0,316
146,272.95,50.67,24.4722,0,0,0,50
147,354.64,37.33,26.2556,0,0,0,0
148,354.64,37.33,26.2556,0,0,0,0
149,354.64,37.33,26.2556,0,0,0,0
150,354.64,37.33,26.2556,0,0,0,1
151,258.82,64.0,16.7278,0,0,0,332
152,354.64,37.33,26.2556,0,0,0,1
153,266.1,50.67,25.3611,0,0,0,33
154,285.58,50.67,22.6944,0,0,0,98
155,354.64,37.33,26.2556,0,0,0,0
156,354.64,37.33,26.2556,0,0,0,210
157,264.5,50.67,25.6611,0,0,0,18
158,287.49,37.33,33.1556,0,0,0,170
159,357.11,24.0,39.3833,0,0,0,0
160,354.64,37.33,26.2556,0,0,0,0
161,295.68,64.0,10.1,0,0,0,440
162,277.13,50.67,23.8833,0,0,0,125
163,266.63,50.67,25.3611,0,0,0,26
164,303.12,50.67,20.25,0,0,0,164
165,354.64,37.33,26.2556,0,0,0,0
166,287.16,48.0,24.3111,0,0,0,54
167,329.63,64.0,3.9889,0,0,0,466
168,268.19,50.67,25.0667,0,0,0,34
169,265.56,50.67,25.5111,0,0,0,1
170,293.98,50.67,21.5111,0,0,0,0
171,306.61,50.67,19.7333,0,0,0,180
172,354.64,37.33,26.2556,0,0,0,4
173,258.18,37.33,36.1944,0,0,0,88
174,271.24,64.0,14.5444,0,0,0,433
175,354.64,37.33,26.2556,0,0,0,0
176,354.64,37.33,26.2556,0,0,0,346
177,354.64,37.33,26.2556,0,0,0,0
178,354.64,37.33,26.2556,0,0,0,0
179,354.64,37.33,26.2556,0,0,0,0
180,354.64,37.33,26.2556,0,0,0,27
181,279.44,50.67,23.5833,0,0,0,74
182,354.64,37.33,26.2556,0,0,0,0
183,354.64,37.33,26.2556,0,0,0,0
184,347.06,50.67,14.0667,0,0,0,331
185,354.64,37.33,26.2556,0,0,0,0
186,354.64,37.33,26.2556,0,0,0,0
187,342.32,50.67,14.7333,0,0,0,14
188,354.64,37.33,26.2556,0,0,0,0
189,354.64,37.33,26.2556,0,0,0,0
190,278.19,50.67,23.7333,0,0,0,0
191,314.23,50.67,18.6611,0,0,0,207
192,299.77,50.67,20.6222,0,0,0,154
193,354.64,37.33,26.2556,0,0,0,51
194,354.64,37.33,26.2556,0,0,0,0
195,267.42,50.67,25.25,0,0,0,2
196,354.64,37.33,26.2556,0,0,0,0
197,354.64,37.33,26.2556,0,0,0,290
198,354.64,37.33,26.2556,0,0,0,335
199,357.11,24.0,39.3833,0,0,0,0
200,354.64,37.33,26.2556,0,0,0,0
201,354.64,37.33,26.2556,0,0,0,0
202,354.64,37.33,26.2556,0,0,0,353
203,354.64,37.33,26.2556,0,0,0,353
204,354.64,37.33,26.2556,0,0,0,353
205,354.64,37.33,26.2556,0,0,0,0
206,354.64,37.33,26.2556,0,0,0,0
207,294.26,50.67,21.4722,0,0,0,20
208,304.94,50.67,19.9944,0,0,0,189
209,354.64,37.33,26.2556,0,0,0,0
210,354.64,37.33,26.2556,0,0,0,0
211,354.64,37.33,26.2556,0,0,0,0
212,354.64,37.33,26.2556,0,0,0,251
213,266.86,50.67,25.3278,0,0,0,0
214,266.25,50.67,25.4389,0,0,0,24
215,320.73,50.67,17.7722,0,0,0,130
216,294.52,50.67,21.3611,0,0,0,403
217,354.64,37.33,26.2556,0,0,0,0
218,354.64,37.33,26.2556,0,0,0,1
219,276.1,50.67,24.0278,0,0,0,0
220,354.64,37.33,26.2556,0,0,0,0
221,268.19,50.67,25.0667,0,0,0,35
222,336.01,50.67,15.6222,0,0,0,289
223,354.64,37.33,26.2556,0,0,0,0
224,354.64,37.33,26.2556,0,0,0,0
225,354.64,37.33,26.2556,0,0,0,0
226,288.74,50.67,22.25,0,0,0,3
227,283.7,50.67,22.8833,0,0,0,93
228,354.64,37.33,26.2556,0,0,0,0
229,354.64,37.33,26.2556,0,0,0,0
230,354.64,37.33,26.2556,0,0,0,0
231,308.18,50.67,19.4389,0,0,0,0
232,311.61,50.67,18.9556,0,0,0,77
233,354.64,37.33,26.2556,0,0,0,0
234,306.02,43.33,26.1389,0,0,0,167
235,329.5,52.8,13.8056,0,0,0,19
236,327.04,50.67,16.8833,0,0,0,33
237,354.64,37.33,26.2556,0,0,0,0
238,306.51,64.0,8.1,0,0,0,264
239,316.62,50.67,18.25,0,0,0,1
240,354.64,37.33,26.2556,0,0,0,0
241,323.35,39.47,26.2556,0,0,0,0
242,348.2,50.67,13.8056,0,0,0,385
243,263.03,54.53,22.9556,0,0,0,92
244,354.64,37.33,26.2556,0,0,0,0
245,354.64,37.33,26.2556,0,0,0,0
246,275.55,50.67,24.1056,0,0,0,33
247,347.95,50.67,13.9167,0,0,0,9
248,303.18,50.67,20.2167,0,0,0,0
249,347.67,50.67,13.9556,0,0,0,100
250,354.64,37.33,26.2556,0,0,0,0
251,354.64,37.33,26.2556,0,0,0,141
252,354.64,37.33,26.2556,0,0,0,0
253,308.88,50.67,19.4389,0,0,0,186
254,299.99,44.27,26.0278,0,0,0,8
255,354.64,37.33,26.2556,0,0,0,0
256,354.64,37.33,26.2556,0,0,0,0
257,293.18,50.67,21.55,0,0,0,129
258,354.64,37.33,26.2556,0,0,0,0
259,336.08,50.67,15.5111,0,0,0,292
260,274.15,50.67,24.3278,0,0,0,349
261,354.64,37.33,26.2556,0,0,0,0
262,354.64,37.33,26.2556,0,0,0,0
263,354.64,37.33,26.2556,0,0,0,0
264,354.64,37.33,26.2556,0,0,0,0
265,354.64,37.33,26.2556,0,0,0,0
266,289.23,50.67,22.1056,0,0,0,114
267,354.64,37.33,26.2556,0,0,0,0
268,354.64,37.33,26.2556,0,0,0,0
269,354.64,37.33,26.2556,0,0,0,0
270,288.64,50.67,22.2889,0,0,0,109
271,354.64,37.33,26.2556,0,0,0,0
272,352.92,50.67,13.2167,0,0,0,0
273,354.64,37.33,26.2556,0,0,0,0
274,354.64,37.33,26.2556,0,0,0,0
275,354.64,37.33,26.2556,0,0,0,121
276,354.64,37.33,26.2556,0,0,0,0
277,314.77,50.67,18.5111,0,0,0,211
278,277.92,50.67,23.7722,0,0,0,0
279,282.12,50.67,23.1056,0,0,0,4
280,354.64,37.33,26.2556,0,0,0,0
281,354.64,37.33,26.2556,0,0,0,0
282,354.64,37.33,26.2556,0,0,0,0
283,354.64,37.33,26.2556,0,0,0,0
284,354.64,37.33,26.2556,0,0,0,0
285,354.64,37.33,26.2556,0,0,0,0
286,354.64,37.33,26.2556,0,0,0,0
287,354.64,37.33,26.2556,0,0,0,0
288,354.64,37.33,26.2556,0,0,0,0
289,293.88,50.67,21.55,0,0,0,0
290,305.03,50.67,19.9556,0,0,0,2
291,274.94,50.67,24.2167,0,0,0,57
292,354.64,37.33,26.2556,0,0,0,0
293,354.64,37.33,26.2556,0,0,0,132
294,354.64,37.33,26.2556,0,0,0,0
295,272.14,64.0,14.2833,0,0,0,125
296,332.06,50.67,16.1778,0,0,0,0
297,354.64,37.33,26.2556,0,0,0,0
298,354.64,37.33,26.2556,0,0,0,0
299,354.64,37.33,26.2556,0,0,0,0
300,273.97,50.67,24.3278,0,0,0,0
301,279.77,50.67,23.5111,0,0,0,2
