Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Env_Violations
0,319.3,67.87,1.6333,0,0,0,2108
1,272.81,70.73,3.0,0,0,0,2676
2,276.98,71.53,2.4833,0,0,0,2162
3,319.68,64.73,3.0,0,0,0,1606
4,305.42,66.13,4.9278,0,0,0,1650
5,290.64,66.13,7.5944,0,0,0,1707
6,300.03,64.0,9.2611,0,0,0,939
7,270.04,50.67,24.8167,0,0,0,493
8,306.95,64.0,7.9889,0,0,0,601
9,267.68,56.67,20.6278,0,0,0,374
10,354.64,37.33,26.2556,0,0,0,359
11,354.26,37.33,26.3056,0,0,0,156
12,339.75,50.67,15.0056,0,0,0,417
13,354.64,37.33,26.2556,0,0,0,359
14,357.11,24.0,39.3833,0,0,0,0
15,322.05,64.0,5.3417,0,0,0,563
16,293.89,37.33,32.5667,0,0,0,186
17,309.64,37.33,30.9333,0,0,0,230
18,301.07,37.33,31.8222,0,0,0,5
19,235.46,50.67,29.7833,0,0,0,159
20,351.04,50.67,13.4167,0,0,0,390
21,289.25,64.0,11.2111,0,0,0,821
22,357.11,24.0,39.3833,0,0,0,0
23,353.61,37.33,26.2556,0,0,0,359
24,302.46,37.33,31.6778,0,0,0,210
25,300.32,37.33,31.9,0,0,0,204
26,354.99,37.33,26.2556,0,0,0,359
27,337.14,64.0,2.8389,0,0,0,714
28,357.11,24.0,39.3833,0,0,0,0
29,299.24,37.33,32.0111,0,0,0,1
30,302.46,37.33,31.6778,0,0,0,0
31,357.11,24.0,39.3833,0,0,0,0
32,327.61,50.67,16.6389,0,0,0,618
33,351.87,64.0,0.1278,0,0,0,1290
34,348.61,50.67,13.7833,0,0,0,344
35,332.9,50.67,15.8944,0,0,0,284
36,338.47,50.67,15.2611,0,0,0,655
37,345.3,50.67,14.3,0,0,0,630
38,354.61,37.33,26.2611,0,0,0,357
39,257.39,50.67,26.5222,0,0,0,181
40,347.9,50.67,13.9333,0,0,0,603
41,354.61,37.33,26.2611,0,0,0,3
42,348.73,50.67,13.8167,0,0,0,753
43,291.7,64.0,10.8167,0,0,0,470
44,289.35,52.67,19.6139,0,0,0,536
45,316.34,50.67,18.3,0,0,0,573
46,323.94,50.67,17.3056,0,0,0,306
