Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Env_Violations
0,277.25,70.6,2.0778,0,0,0,1674
1,340.34,59.6,2.7056,0,0,0,2395
2,261.75,74.67,2.5167,0,0,0,1557
3,319.18,66.13,2.3722,0,0,0,1841
4,280.96,66.4,5.7778,0,0,0,1613
5,287.3,60.47,12.5167,0,0,0,1053
6,270.21,64.0,14.6889,0,0,0,1319
7,286.29,64.0,11.6944,0,0,0,476
8,334.23,50.67,15.7722,0,0,0,603
9,357.11,24.0,39.3833,0,0,0,0
10,331.65,50.67,16.0278,0,0,0,789
11,275.55,50.67,23.9667,0,0,0,472
12,341.75,37.33,27.5278,0,0,0,394
13,242.96,64.0,19.4833,0,0,0,436
14,357.11,24.0,39.3833,0,0,0,0
15,353.61,37.33,26.2556,0,0,0,359
16,291.77,37.33,32.7111,0,0,0,182
17,310.2,37.33,30.9,0,0,0,231
18,357.11,24.0,39.3833,0,0,0,0
19,354.64,37.33,26.2556,0,0,0,685
20,341.75,37.33,27.5278,0,0,0,547
21,352.84,37.33,26.3778,0,0,0,353
22,283.57,64.0,12.1889,0,0,0,639
23,289.15,37.33,33.0833,0,0,0,172
24,284.24,37.33,33.5667,0,0,0,159
25,290.47,64.0,10.9611,0,0,0,1057
26,304.35,64.0,8.5639,0,0,0,793
27,300.27,64.0,9.25,0,0,0,778
28,268.2,37.33,35.1556,0,0,0,116
29,357.11,24.0,39.3833,0,0,0,0
30,310.71,37.33,30.8222,0,0,0,233
31,308.19,37.33,31.0833,0,0,0,226
32,298.58,64.0,9.5833,0,0,0,482
33,342.29,48.53,14.7556,0,0,0,966
34,275.17,50.67,24.1944,0,0,0,414
35,357.11,24.0,39.3833,0,0,0,0
36,287.82,29.87,39.2333,0,0,0,6
37,336.61,50.67,15.5111,0,0,0,651
38,270.81,50.67,24.7,0,0,0,127
39,251.06,37.33,36.9333,0,0,0,68
40,357.11,24.0,39.3833,0,0,0,0
41,357.11,24.0,39.3833,0,0,0,0
42,337.04,50.67,15.3833,0,0,0,396
43,325.22,50.67,17.0333,0,0,0,297
44,337.84,37.33,27.9333,0,0,0,11
45,311.07,50.67,19.0333,0,0,0,200
46,357.11,24.0,39.3833,0,0,0,0
47,353.54,37.33,26.2778,0,0,0,357
48,310.45,64.0,7.4833,0,0,0,834
49,353.54,37.33,26.2778,0,0,0,357
50,332.11,37.33,28.5278,0,0,0,1
51,357.11,24.0,39.3833,0,0,0,0
52,327.45,37.33,29.0111,0,0,0,2
53,294.77,50.67,21.3611,0,0,0,605
54,357.11,24.0,39.3833,0,0,0,0
55,289.53,64.0,11.2111,0,0,0,1025
56,332.68,50.67,15.8833,0,0,0,104
57,312.7,50.67,18.6944,0,0,0,375
58,352.39,64.0,0.0,0,0,0,36
59,353.48,59.07,0.0,0,0,0,909
60,334.26,50.67,15.6611,0,0,0,339
61,347.68,50.67,13.7722,0,0,0,420
62,309.04,64.0,7.6167,0,0,0,192
63,257.41,50.67,26.5944,0,0,0,148
64,351.9,50.67,13.15,0,0,0,453
65,353.61,37.33,26.2556,0,0,0,117
66,292.71,50.67,21.5833,0,0,0,176
67,353.84,36.93,26.2556,0,0,0,340
68,349.53,50.67,13.5111,0,0,0,692
69,326.36,50.67,16.775,0,0,0,246
70,290.04,50.67,21.8833,0,0,0,120
71,330.42,64.0,3.9167,0,0,0,886
72,350.32,50.67,13.4,0,0,0,146
73,352.84,37.33,26.3778,0,0,0,353
74,353.61,37.33,26.2556,0,0,0,0
75,241.07,37.33,38.0444,0,0,0,38
76,353.61,37.33,26.2556,0,0,0,323
77,353.61,37.33,26.2556,0,0,0,173
78,222.1,50.67,31.4889,0,0,0,217
79,275.01,50.67,24.1167,0,0,0,113
80,329.24,50.27,16.4389,0,0,0,606
81,353.61,37.33,26.2556,0,0,0,0
82,298.84,44.27,26.1056,0,0,0,11
83,324.27,50.67,17.0667,0,0,0,250
84,216.53,44.73,36.0056,0,0,0,95
85,290.14,46.47,21.3278,0,0,0,138
86,353.61,37.33,26.2556,0,0,0,0
87,352.47,37.33,26.4167,0,0,0,3
88,353.61,37.33,26.2556,0,0,0,0
89,327.42,50.67,16.6222,0,0,0,400
90,348.47,50.67,13.6611,0,0,0,342
91,355.77,33.13,26.2556,0,0,0,0
92,285.84,50.67,22.55,0,0,0,102
93,291.13,50.67,21.8083,0,0,0,169
94,351.39,50.67,13.25,0,0,0,272
95,334.63,37.33,28.2667,0,0,0,1
96,282.68,50.67,22.9944,0,0,0,90
97,353.61,37.33,26.2556,0,0,0,0
98,315.07,50.67,18.3611,0,0,0,250
99,355.56,33.6,26.2556,0,0,0,0
100,261.47,64.0,16.1167,0,0,0,605
101,329.03,50.67,16.4722,0,0,0,698
102,336.93,50.67,15.3611,0,0,0,383
103,336.99,48.93,15.3611,0,0,0,296
104,355.95,32.8,26.2556,0,0,0,0
105,353.61,37.33,26.2556,0,0,0,3
106,338.01,46.13,15.25,0,0,0,299
107,313.21,46.13,18.3278,0,0,0,216
108,322.71,50.67,17.3611,0,0,0,242
109,340.92,49.87,14.9167,0,0,0,614
110,276.0,42.67,22.5111,0,0,0,105
111,356.99,29.33,26.2556,0,0,0,299
112,318.48,50.67,17.9556,0,0,0,226
113,352.14,46.07,13.3278,0,0,0,444
114,305.01,64.0,8.4333,0,0,0,623
115,268.49,50.67,24.9167,0,0,0,156
116,357.11,24.0,39.3833,0,0,0,0
117,303.74,50.67,19.9556,0,0,0,172
118,354.64,37.33,26.2556,0,0,0,4
119,264.03,64.0,15.5444,0,0,0,4
120,353.61,37.33,26.2556,0,0,0,290
