Metric,Value
Total_Episodes,500
Avg_Waiting_Time,248.53
Avg_Queue_Length,65.72
Avg_Throughput,9.6731
Total_Violations,436982
Avg_Violations_Per_Episode,873.96
Total_Phase_Violations,436982
Total_Duration_Violations,0
Total_Actual_Violations,0
Avg_Phase_Violations_Per_Episode,873.96
Avg_Duration_Violations_Per_Episode,0.0
Avg_Actual_Violations_Per_Episode,0.0
