Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Actual_Violations
128,299.88,77.07,2.0306,1450,1450,0,0
129,258.74,79.73,1.4333,1125,1125,0,0
130,273.73,78.0,1.4167,2060,2060,0,0
131,178.03,76.07,2.1371,746,746,0,0
132,262.13,76.53,1.9889,1490,1490,0,0
133,228.02,77.53,2.1667,1690,1690,0,0
134,174.25,62.4,12.3306,1240,1240,0,0
135,235.39,77.33,1.4806,1375,1375,0,0
136,275.65,78.2,1.2694,1925,1925,0,0
137,147.51,72.13,4.2581,704,704,0,0
138,236.9,77.33,1.8167,1525,1525,0,0
139,236.45,73.07,3.1806,1965,1965,0,0
140,235.4,77.33,3.1306,1430,1430,0,0
141,240.68,72.4,4.2139,780,780,0,0
142,300.15,78.67,0.7194,1965,1965,0,0
143,172.25,72.07,1.9637,551,551,0,0
144,265.01,76.87,1.0639,1610,1610,0,0
145,242.67,76.87,1.5417,1025,1025,0,0
146,270.39,76.33,1.2806,1975,1975,0,0
147,196.96,81.87,7.3417,680,680,0,0
148,264.66,73.53,1.0889,1505,1505,0,0
149,200.01,75.2,0.7702,746,746,0,0
150,253.47,76.33,1.6639,1290,1290,0,0
151,265.01,77.6,1.125,1145,1145,0,0
152,314.97,74.6,1.575,1725,1725,0,0
153,271.14,76.53,2.9667,2120,2120,0,0
154,235.21,82.93,4.9417,1180,1180,0,0
155,203.32,72.93,1.1734,779,779,0,0
156,277.42,77.27,2.3528,2085,2085,0,0
157,308.94,79.2,0.7528,690,690,0,0
158,325.66,78.6,0.3861,1765,1765,0,0
159,317.34,77.4,0.5778,1355,1355,0,0
160,264.11,66.73,2.0444,1170,1170,0,0
161,159.99,71.2,3.5202,882,882,0,0
162,258.66,76.27,2.1667,1595,1595,0,0
163,261.39,72.67,1.8389,1485,1485,0,0
164,293.58,73.73,0.8167,1280,1280,0,0
165,323.15,73.73,1.0389,455,455,0,0
166,275.83,76.33,2.7861,2080,2080,0,0
167,197.77,73.73,2.8024,847,847,0,0
168,308.62,77.73,1.4111,1985,1985,0,0
169,313.88,76.87,0.9028,1770,1770,0,0
170,256.53,61.8,7.9194,1550,1550,0,0
171,310.62,77.8,1.0639,1025,1025,0,0
172,305.0,72.0,1.1194,1680,1680,0,0
173,167.63,79.6,2.5242,915,915,0,0
174,294.62,73.33,2.0861,1615,1615,0,0
175,282.8,71.93,1.5139,1440,1440,0,0
176,265.27,78.07,1.8861,1345,1345,0,0
177,286.97,77.67,1.5361,1890,1890,0,0
178,238.7,75.47,1.6833,1825,1825,0,0
179,182.07,78.47,2.4516,707,707,0,0
180,312.47,70.53,9.0722,1405,1405,0,0
181,234.85,78.93,1.5778,2130,2130,0,0
182,294.45,70.87,1.2139,1710,1710,0,0
183,225.59,76.47,4.2583,1150,1150,0,0
184,290.02,72.87,1.3944,1520,1520,0,0
185,167.84,77.73,3.1331,737,737,0,0
186,301.64,71.6,0.9194,1055,1055,0,0
187,218.58,85.4,1.6194,1675,1675,0,0
188,282.32,77.93,3.0389,2100,2100,0,0
189,292.42,59.8,10.1222,710,710,0,0
190,286.93,77.87,0.5722,1720,1720,0,0
191,190.71,79.0,1.871,627,627,0,0
192,238.59,72.53,1.8389,1100,1100,0,0
193,261.03,77.87,0.9278,1335,1335,0,0
194,299.7,72.47,2.9111,1770,1770,0,0
195,239.26,74.8,6.5944,1265,1265,0,0
196,233.34,70.27,3.0889,715,715,0,0
197,174.32,72.27,1.5403,1594,1594,0,0
198,284.56,76.53,2.0667,1625,1625,0,0
199,208.67,75.67,2.6778,455,455,0,0
