Episode,Avg_Waiting_Time,Avg_Queue_Length,Avg_Throughput,Violations
0,189.22229822161424,77.4,0.9277777777777778,0
1,222.49364944961897,58.2,2.5722222222222224,0
2,284.34547346514046,59.4,0.9138888888888889,0
3,294.4230769230769,55.666666666666664,0.075,0
4,229.71966133584195,63.46666666666667,7.777777777777778,0
5,288.7442965779468,69.46666666666667,0.03888888888888889,0
6,221.67124463519312,70.6,1.2333333333333334,0
7,168.1576354679803,63.13333333333333,9.95,0
8,226.34929078014184,70.66666666666667,1.2805555555555554,0
9,293.7880658436214,61.46666666666667,0.31666666666666665,0
10,258.55713094245203,77.33333333333333,0.5861111111111111,0
11,333.59843400447426,59.6,0.0,0
12,242.04440154440155,68.13333333333334,0.1638888888888889,0
13,295.98572884811415,65.2,0.0,0
14,316.3406304728546,75.0,0.0,0
15,291.0596745027125,73.33333333333333,0.23333333333333334,0
16,260.3333333333333,65.46666666666667,0.0,0
17,238.60315985130111,70.6,0.025,0
18,264.4066390041494,63.2,0.0,0
19,149.0286599535244,65.93333333333334,2.438888888888889,0
20,168.4754966887417,66.53333333333333,2.563888888888889,0
21,235.57117278424352,66.66666666666667,0.5416666666666666,0
22,225.34897360703812,63.733333333333334,0.875,0
23,294.48126463700237,50.333333333333336,5.663888888888889,0
24,243.17543859649123,54.06666666666667,4.622222222222222,0
25,285.45589798087144,59.733333333333334,4.65,0
26,292.8074534161491,64.2,1.3444444444444446,0
27,333.37252619324795,56.13333333333333,0.025,0
28,271.5386178861789,59.733333333333334,0.43333333333333335,0
29,284.14762386248736,64.66666666666667,2.0444444444444443,0
30,338.87301587301585,58.8,0.4222222222222222,0
31,329.5821917808219,58.2,0.0,0
32,276.8824152542373,62.733333333333334,0.0,0
33,287.69978858350953,62.266666666666666,0.025,0
34,322.21510297482837,57.266666666666666,0.025,0
35,297.1828442437923,58.666666666666664,0.0,0
36,292.39328277356447,60.93333333333333,0.0,0
37,274.472860125261,60.93333333333333,1.9944444444444445,0
38,231.4618215271389,59.13333333333333,1.6694444444444445,0
39,327.53717277486913,63.06666666666667,0.0,0
40,339.59453032104636,56.06666666666667,0.0,0
41,323.4700460829493,57.86666666666667,0.0,0
42,334.3437849944009,59.333333333333336,0.0,0
