Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Actual_Violations
0,259.76,70.47,1.6278,1165,1165,0,0
1,242.8,76.2,1.9,745,745,0,0
2,251.16,71.33,2.3472,595,595,0,0
3,196.51,85.0,2.1056,1045,1045,0,0
4,297.62,77.47,1.7472,1690,1690,0,0
5,187.92,74.67,2.9516,383,383,0,0
6,188.65,78.07,5.7056,890,890,0,0
7,261.07,77.0,1.6944,1070,1070,0,0
8,228.07,76.67,2.9389,1210,1210,0,0
9,259.58,70.13,1.3222,1475,1475,0,0
10,225.03,74.07,1.4917,1610,1610,0,0
11,184.51,71.0,1.5363,486,486,0,0
12,192.28,83.53,3.2639,1360,1360,0,0
13,194.13,79.07,8.3583,675,675,0,0
14,206.79,78.27,1.8361,905,905,0,0
15,256.21,77.33,1.3444,2255,2255,0,0
16,244.99,73.67,4.1667,1020,1020,0,0
17,176.52,77.0,3.0968,386,386,0,0
18,222.42,83.07,1.2417,1045,1045,0,0
19,226.48,77.27,5.6778,1495,1495,0,0
20,202.01,81.2,1.425,850,850,0,0
21,214.91,80.47,1.0917,1710,1710,0,0
22,230.74,77.2,4.0944,710,710,0,0
23,147.01,79.93,3.4718,667,667,0,0
24,242.53,77.53,2.7194,1550,1550,0,0
25,258.99,78.4,1.4694,2070,2070,0,0
26,292.16,75.27,0.9806,1640,1640,0,0
27,223.1,79.4,1.9889,1470,1470,0,0
28,267.98,81.73,0.7333,1760,1760,0,0
29,187.62,76.4,1.6653,905,905,0,0
30,173.05,77.0,2.3889,1575,1575,0,0
31,204.38,74.13,3.0194,1210,1210,0,0
32,190.26,82.73,1.2778,1585,1585,0,0
33,198.22,76.13,0.9583,1925,1925,0,0
34,259.54,74.2,1.7833,1900,1900,0,0
35,151.85,73.27,1.25,825,825,0,0
36,264.45,71.8,1.1806,1435,1435,0,0
37,241.43,75.73,1.225,2085,2085,0,0
38,253.87,76.47,1.7194,2240,2240,0,0
39,261.81,79.07,0.6889,1695,1695,0,0
40,252.91,79.87,3.1028,1465,1465,0,0
41,129.75,76.47,3.6976,995,995,0,0
42,213.98,77.8,2.8194,850,850,0,0
43,206.38,82.67,1.0028,1370,1370,0,0
44,204.67,82.53,2.2417,1200,1200,0,0
45,217.77,78.27,2.0806,1345,1345,0,0
46,275.53,79.13,0.6222,1960,1960,0,0
