Metric,Value
Total_Episodes,500
Avg_Waiting_Time,247.67
Avg_Queue_Length,69.7
Avg_Throughput,3.5821
Total_Violations,527128
Avg_Violations_Per_Episode,1054.26
Total_Phase_Violations,527128
Total_Duration_Violations,0
Total_Actual_Violations,0
Avg_Phase_Violations_Per_Episode,1054.26
Avg_Duration_Violations_Per_Episode,0.0
Avg_Actual_Violations_Per_Episode,0.0
