Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Actual_Violations
0,309.33,74.67,0.6056,800,800,0,0
1,277.55,77.6,1.2111,565,565,0,0
2,189.01,77.87,4.5917,1075,1075,0,0
3,251.85,76.53,1.4,715,715,0,0
4,218.43,77.13,2.8222,580,580,0,0
5,170.56,76.93,2.1895,223,223,0,0
6,231.81,79.93,2.4139,745,745,0,0
7,275.61,71.0,3.0278,1195,1195,0,0
8,219.53,79.0,2.8306,630,630,0,0
9,238.03,75.6,1.6056,530,530,0,0
10,302.7,79.53,0.425,755,755,0,0
11,202.47,68.8,3.0363,311,311,0,0
12,256.12,78.47,1.6333,680,680,0,0
13,244.48,73.2,3.5861,730,730,0,0
14,233.04,76.67,2.4528,1100,1100,0,0
15,263.82,74.6,2.5,590,590,0,0
16,269.73,76.8,1.2306,1370,1370,0,0
17,166.48,72.2,3.0524,335,335,0,0
18,252.72,79.4,0.6167,925,925,0,0
19,252.14,77.6,1.1,515,515,0,0
20,262.35,78.2,2.2389,565,565,0,0
21,237.89,81.13,4.5167,550,550,0,0
22,252.88,78.47,1.8667,565,565,0,0
23,185.31,79.13,2.6129,511,511,0,0
24,236.15,76.67,1.4639,745,745,0,0
25,240.49,75.2,1.7028,585,585,0,0
26,234.07,78.73,2.4417,390,390,0,0
27,259.35,77.4,1.0028,515,515,0,0
28,270.22,78.93,1.2361,395,395,0,0
29,180.49,75.93,1.4637,339,339,0,0
30,267.47,85.33,1.5972,375,375,0,0
31,212.89,80.4,2.1306,450,450,0,0
32,302.63,72.13,0.4667,645,645,0,0
33,194.29,75.33,5.9222,1060,1060,0,0
34,282.04,78.93,1.9528,255,255,0,0
35,188.58,71.13,1.754,296,296,0,0
36,289.94,76.8,2.3528,550,550,0,0
37,251.52,76.4,0.9778,785,785,0,0
38,236.53,80.07,4.4722,805,805,0,0
39,207.61,72.2,1.7694,625,625,0,0
40,261.76,79.53,0.75,1030,1030,0,0
41,174.37,73.53,4.2984,470,470,0,0
42,251.39,74.87,3.0472,610,610,0,0
43,278.12,75.87,1.8222,275,275,0,0
44,280.0,83.47,1.2222,720,720,0,0
45,244.83,82.07,3.5333,590,590,0,0
46,264.29,73.07,3.7583,400,400,0,0
47,170.27,77.47,0.7298,982,982,0,0
48,241.92,75.07,1.2472,1105,1105,0,0
49,262.22,83.2,0.9611,775,775,0,0
50,273.7,77.0,2.75,835,835,0,0
51,256.83,74.93,1.0444,890,890,0,0
52,249.83,72.07,4.1556,255,255,0,0
53,175.15,79.67,2.4476,244,244,0,0
54,225.27,73.8,2.575,630,630,0,0
55,262.19,81.07,1.5528,1025,1025,0,0
56,261.79,77.07,2.2556,720,720,0,0
57,252.19,75.4,1.4667,595,595,0,0
