Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Env_Violations
0,275.64,76.8,2.3333,0,0,0,1883
1,259.51,73.27,2.7056,0,0,0,2584
2,297.02,70.4,1.9722,0,0,0,1832
3,311.99,66.13,3.7389,0,0,0,2129
4,346.69,64.0,0.9667,0,0,0,2272
5,293.45,61.87,11.9278,0,0,0,1862
6,320.94,52.8,14.3472,0,0,0,651
7,351.78,64.0,0.2333,0,0,0,1607
8,297.81,50.67,20.9333,0,0,0,502
9,321.29,37.33,29.75,0,0,0,113
10,228.18,64.0,22.1111,0,0,0,472
11,258.43,50.67,26.45,0,0,0,227
12,357.11,24.0,39.3833,0,0,0,0
13,354.64,37.33,26.2556,0,0,0,359
14,311.78,37.33,30.7111,0,0,0,390
15,353.41,37.33,26.3139,0,0,0,731
16,260.67,37.33,36.0111,0,0,0,0
17,273.88,37.33,34.5667,0,0,0,132
18,273.41,50.67,24.2667,0,0,0,138
19,320.32,37.33,29.75,0,0,0,3
20,275.09,64.0,13.7,0,0,0,922
21,256.52,50.67,26.7444,0,0,0,345
22,322.84,37.33,29.4889,0,0,0,1
23,351.77,37.33,26.4889,0,0,0,350
24,299.74,50.67,20.5611,0,0,0,225
25,317.32,50.67,18.1444,0,0,0,798
26,353.54,37.33,26.2778,0,0,0,69
27,332.16,36.0,28.7889,0,0,0,570
28,352.54,50.67,13.1917,0,0,0,712
29,353.48,37.33,26.2944,0,0,0,2
30,263.43,50.67,25.6722,0,0,0,153
31,339.26,50.67,15.15,0,0,0,982
32,287.64,50.67,22.3389,0,0,0,95
33,354.5,37.33,26.2778,0,0,0,555
34,312.81,50.67,18.8222,0,0,0,428
35,271.29,50.27,24.7056,0,0,0,398
36,354.65,37.07,26.2778,0,0,0,358
37,255.61,64.0,17.2833,0,0,0,795
38,354.61,37.33,26.2611,0,0,0,722
39,233.41,48.53,30.1944,0,0,0,249
40,329.97,37.33,28.75,0,0,0,430
41,353.48,37.33,26.2944,0,0,0,2
42,345.45,64.0,1.0833,0,0,0,1257
43,270.34,37.33,34.9333,0,0,0,122
44,216.3,50.67,32.3056,0,0,0,195
45,355.23,36.53,26.2556,0,0,0,709
46,351.31,50.67,13.3778,0,0,0,351
47,317.11,50.67,18.1167,0,0,0,1
48,338.92,37.33,27.8222,0,0,0,209
49,246.02,37.33,37.4556,0,0,0,54
50,332.12,34.67,29.0694,0,0,0,506
51,303.34,64.0,8.7389,0,0,0,408
52,255.0,50.67,26.9333,0,0,0,267
53,288.88,37.33,33.0111,0,0,0,3
54,318.88,37.33,29.9,0,0,0,0
55,326.75,37.33,29.0833,0,0,0,0
56,260.63,64.0,16.2667,0,0,0,892
57,351.8,50.67,13.1889,0,0,0,118
58,315.34,45.33,19.7,0,0,0,479
59,357.11,24.0,39.3833,0,0,0,0
60,264.14,50.67,25.6722,0,0,0,25
61,357.11,24.0,39.3833,0,0,0,0
62,307.09,37.33,31.1222,0,0,0,0
63,271.04,37.33,34.8611,0,0,0,0
64,255.79,50.67,26.8222,0,0,0,38
65,284.59,37.33,33.4556,0,0,0,0
66,241.74,37.33,37.9,0,0,0,42
67,334.25,37.33,28.3056,0,0,0,182
68,346.7,46.67,14.4,0,0,0,754
69,289.4,50.67,22.1167,0,0,0,456
70,293.97,64.0,10.3222,0,0,0,556
71,319.22,50.67,17.8944,0,0,0,988
72,319.63,37.33,29.8222,0,0,0,253
73,353.48,37.33,26.2944,0,0,0,1
74,345.25,64.0,1.2222,0,0,0,703
75,314.62,37.33,30.4167,0,0,0,69
76,340.08,50.67,15.0833,0,0,0,686
77,268.95,50.67,25.0444,0,0,0,208
78,324.61,37.33,29.3056,0,0,0,12
79,331.2,50.67,16.2167,0,0,0,301
80,357.11,24.0,39.3833,0,0,0,0
81,239.43,50.67,29.15,0,0,0,297
82,355.31,33.93,26.2556,0,0,0,350
83,344.83,47.27,14.25,0,0,0,13
84,336.65,39.2,26.3139,0,0,0,5
85,310.47,50.67,19.0333,0,0,0,455
86,341.69,50.07,14.7833,0,0,0,406
87,322.84,37.33,29.4889,0,0,0,269
88,355.83,32.73,26.2556,0,0,0,4
89,353.48,37.33,26.2944,0,0,0,1
90,353.06,37.33,26.4556,0,0,0,1069
91,353.54,37.33,26.2778,0,0,0,1
92,316.09,50.67,18.2611,0,0,0,15
