Metric,Value
Total_Episodes,500
Avg_Waiting_Time,239.3
Avg_Queue_Length,69.67
Avg_Throughput,6.4753
Total_Violations,241981
Avg_Violations_Per_Episode,483.96
Total_Phase_Violations,241981
Total_Duration_Violations,0
Total_Actual_Violations,0
Avg_Phase_Violations_Per_Episode,483.96
Avg_Duration_Violations_Per_Episode,0.0
Avg_Actual_Violations_Per_Episode,0.0
