Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Actual_Violations
0,217.07,79.73,1.25,1105,1105,0,0
1,286.0,77.0,1.0222,1135,1135,0,0
2,236.93,78.47,1.4083,920,920,0,0
3,229.32,71.47,2.5222,620,620,0,0
4,218.58,76.67,1.2333,655,655,0,0
5,175.52,74.87,2.0806,426,426,0,0
6,246.22,72.87,2.1194,780,780,0,0
7,252.25,76.53,2.2083,830,830,0,0
8,236.55,81.13,0.8472,375,375,0,0
9,229.51,77.2,4.1667,845,845,0,0
10,283.66,75.27,0.7139,855,855,0,0
11,159.29,79.8,2.1734,604,604,0,0
12,206.0,80.73,2.0278,740,740,0,0
13,228.69,78.53,1.3472,1460,1460,0,0
14,221.82,75.13,1.7806,670,670,0,0
15,253.91,73.0,1.5722,775,775,0,0
16,236.29,79.0,2.4278,955,955,0,0
17,158.41,78.47,2.2137,586,586,0,0
18,218.38,70.0,10.7333,240,240,0,0
19,233.87,85.47,2.2889,1210,1210,0,0
20,207.36,81.6,2.3333,495,495,0,0
21,266.21,77.4,1.625,2285,2285,0,0
22,178.45,78.87,1.7611,745,745,0,0
23,166.87,79.0,3.2823,145,145,0,0
24,234.79,73.87,0.9139,1285,1285,0,0
25,187.88,79.53,2.8417,845,845,0,0
26,334.35,67.67,1.1222,1535,1535,0,0
27,287.11,75.8,1.6361,1495,1495,0,0
28,271.92,78.93,1.7222,625,625,0,0
29,170.37,76.8,2.0282,481,481,0,0
30,226.51,81.2,1.8972,720,720,0,0
31,276.64,76.8,1.8694,540,540,0,0
32,236.94,76.67,1.6806,555,555,0,0
33,267.28,66.6,2.9528,930,930,0,0
34,232.11,76.67,1.5694,645,645,0,0
35,189.34,77.07,1.1935,810,810,0,0
36,228.16,71.67,3.4111,215,215,0,0
37,222.05,81.13,1.2694,365,365,0,0
38,245.77,80.53,1.8,715,715,0,0
39,230.01,80.27,3.5389,220,220,0,0
40,244.93,78.13,1.3722,390,390,0,0
41,171.17,75.87,3.6331,406,406,0,0
42,267.53,76.2,0.9861,925,925,0,0
43,242.37,78.33,3.6472,455,455,0,0
44,286.52,78.07,0.9,1070,1070,0,0
45,242.91,72.27,1.25,400,400,0,0
46,257.46,76.73,4.7917,640,640,0,0
47,181.67,64.6,1.6492,419,419,0,0
48,227.96,74.53,1.6972,485,485,0,0
49,248.05,73.27,2.6056,500,500,0,0
50,245.63,72.6,3.0833,325,325,0,0
51,278.19,79.07,0.6944,455,455,0,0
52,194.77,85.93,2.7861,780,780,0,0
53,184.39,70.73,2.4718,163,163,0,0
54,213.42,84.73,2.425,670,670,0,0
55,233.99,72.53,1.775,1060,1060,0,0
56,209.04,83.33,3.5611,615,615,0,0
57,233.48,76.07,2.5389,380,380,0,0
58,227.52,76.93,1.3889,920,920,0,0
59,187.03,74.73,2.2581,286,286,0,0
60,278.92,77.87,2.0611,935,935,0,0
61,301.74,79.53,0.5111,575,575,0,0
62,252.23,75.33,2.2083,195,195,0,0
63,225.31,78.27,1.2194,740,740,0,0
64,237.86,75.13,4.05,455,455,0,0
65,183.45,75.07,1.5403,178,178,0,0
66,283.88,74.67,2.4278,515,515,0,0
67,218.19,78.93,2.4056,830,830,0,0
68,240.07,78.73,1.7028,535,535,0,0
69,253.27,83.07,1.7028,190,190,0,0
70,204.95,81.4,2.8028,475,475,0,0
71,184.58,69.27,1.6532,326,326,0,0
72,252.15,85.33,1.3917,730,730,0,0
73,271.31,74.2,2.0722,1055,1055,0,0
74,263.08,80.73,1.1611,895,895,0,0
75,288.97,75.87,0.5111,425,425,0,0
76,252.35,79.33,1.9139,630,630,0,0
77,193.73,77.8,1.3306,198,198,0,0
78,261.17,73.53,2.6083,565,565,0,0
79,240.65,82.2,1.4028,715,715,0,0
80,244.61,80.47,0.9972,415,415,0,0
81,214.98,76.93,1.825,890,890,0,0
82,251.58,77.33,1.5111,435,435,0,0
83,205.39,71.47,1.1371,150,150,0,0
84,289.47,76.53,1.0083,660,660,0,0
85,304.23,72.27,1.3444,260,260,0,0
86,272.97,75.67,1.0833,750,750,0,0
87,310.87,79.0,0.7556,1180,1180,0,0
88,230.34,80.73,2.2472,830,830,0,0
89,177.38,76.4,1.0444,293,293,0,0
90,254.44,72.47,4.4528,1285,1285,0,0
